,Game_ID,Session_ID,LineUp_ID,Game_Status_ID,Min,Lineup_Score,Oppo_Score,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_DefReb,Oppo_OffReb,Oppo_TtlReb,Oppo_FTA,Oppo_FTm,Oppo_FTM,Oppo_Ast,Oppo_Stl,Player_Name,Pts,OffReb,DefReb,TtlReb,FGA,FGM,FGm,Two_FGA,Two_FGM,Two_FGm,Three_FGA,Three_FGM,Three_FGm,Ast,Stl,FTA,FTM,FTm
530,9,2,3,1,2.983333333,9,0,3,0,3,2,0,2,1,0,1,1,0,1,0,0,0,0,0,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,9,2,3,1,2.983333333,9,0,3,0,3,2,0,2,1,0,1,1,0,1,0,0,0,0,0,Jake Digiorgio,2,0,2,2,1,0,1,1,0,1,0,0,0,0,1,2,2,0
532,9,2,3,1,2.983333333,9,0,3,0,3,2,0,2,1,0,1,1,0,1,0,0,0,0,0,Anthony Mosley,2,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0
533,9,2,3,1,2.983333333,9,0,3,0,3,2,0,2,1,0,1,1,0,1,0,0,0,0,0,Capriest Gardner,2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
534,9,2,3,1,2.983333333,9,0,3,0,3,2,0,2,1,0,1,1,0,1,0,0,0,0,0,Jake Bruns,3,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
535,9,2,4,1,0.75,1,3,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,9,2,4,1,0.75,1,3,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,9,2,4,1,0.75,1,3,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,Jake Digiorgio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
538,9,2,4,1,0.75,1,3,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,Anthony Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,9,2,4,1,0.75,1,3,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,Capriest Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,9,2,5,1,1.516666667,4,2,2,0,2,1,0,1,1,0,1,0,1,1,2,0,2,0,1,Max Hisatake,2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
