#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1241,SUNY New Paltz Hawks,25,100%,87.8,70.6,0.804,37.4,25.6,63,40.7%,45.9%,18.2%,11.9%,8.5%,37.6%
1242,SUNY Old Westbury Panthers,10,100%,84.7,69.6,0.822,35,24.6,59.6,41.3%,47.3%,18.5%,12.6%,8.4%,38.1%
1243,SUNY Polytechnic Wildcats,10,100%,87.3,81.9,0.938,31.7,29.5,61.2,48.2%,53.6%,16.7%,15.6%,9.5%,44.4%
1244,SUNY Potsdam,25,100%,85.5,71.1,0.831,34.4,24.5,58.9,41.6%,48.9%,20.4%,13.3%,9.3%,37.6%
1245,SUNY Purchase Panthers,12,100%,84.5,72.8,0.862,34.3,26.8,61,43.9%,49%,17.8%,11.9%,8.6%,40.5%
1246,Susquehanna University Crusaders,24,100%,80.9,71.8,0.888,31.4,25.5,56.9,44.9%,51.8%,19.2%,12.2%,8.3%,40.6%
1247,Swarthmore Garnet,31,100%,81.6,77.4,0.948,30.7,27.5,58.2,47.3%,54.5%,17%,13.5%,7.4%,43.6%
1248,Syracuse Orange,37,100%,76.2,66.5,0.872,31.6,22.5,54.1,41.6%,46.7%,15.5%,15.3%,10.4%,41.4%
1249,Tabor College Bluejays,29,100%,87.7,78.3,0.893,35.1,28.7,63.8,44.9%,49.8%,15.8%,14.3%,10.1%,42.1%
1250,Talladega Tornadoes,11,100%,82.6,64.5,0.78,36,22.2,58.2,38.1%,43.6%,18.6%,12.8%,8.3%,36.1%
1251,Tampa Spartans,26,100%,84.3,77.3,0.917,31.9,27.2,59.1,46.1%,52.5%,18.5%,13.9%,10%,42.6%
1252,Tarleton State Texans,29,100%,78,72.1,0.924,29.9,23.6,53.5,44.1%,51.7%,16.9%,17%,9.7%,42.4%
1253,Taylor University Trojans,31,100%,84.7,81.8,0.965,34.4,28.9,63.4,45.7%,52.8%,14.6%,12.8%,8.7%,43.7%
1254,TCU Horned Frogs,33,100%,81.3,81.5,1.002,30.2,29.6,59.8,49.5%,56.4%,15.1%,13.9%,9.9%,46.3%
1255,Temple Owls,33,100%,77.3,69.5,0.899,34.8,25.5,60.2,42.3%,49.1%,13.2%,10.7%,8.7%,40.5%
