#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1,Abilene Christian Wildcats,32,100%,81,73.2,0.904,31.7,27.1,58.8,46.1%,51.7%,17.4%,12.4%,8.6%,41.9%
2,Academy of Art Urban Knights,26,100%,77.7,67.7,0.871,32.8,24,56.8,42.2%,47.5%,15.5%,13.4%,9.5%,40.9%
3,Acadia Axeman,32,100%,93.8,76.5,0.816,41.1,27.5,68.6,40.1%,46.3%,17.5%,10.9%,8.7%,37.6%
4,Adams State Grizzlies,32,100%,88,82.8,0.942,32.5,28.9,61.4,47%,52.9%,16.4%,16.2%,9.5%,44.6%
5,Adelphi University Panthers,29,100%,85.3,84.8,0.995,33.3,29.4,62.7,46.8%,56.3%,16.5%,12.4%,9.3%,43.3%
6,Adrian,27,100%,75.3,70.2,0.932,30.3,25,55.3,45.3%,51.8%,15.1%,13.8%,10.7%,43.2%
7,Air Force Falcons,31,100%,77.5,68.1,0.879,33.4,23.6,57,41.4%,48.4%,15.7%,12.8%,8.2%,39.6%
8,Akron Wayne Warriors,5,100%,93.6,60.4,0.645,43.2,23.8,67,35.5%,38.2%,21.2%,9.2%,8.1%,31.2%
9,Akron Zips,32,100%,78.9,71.2,0.902,32.6,24.7,57.3,43.1%,51.3%,17.2%,12.6%,8.8%,40.1%
10,Alabama A&M Bulldogs,27,100%,78.1,60.7,0.777,32.9,21.7,54.7,39.8%,45.4%,20.4%,11.6%,8.6%,35.8%
11,Alabama Crimson Tide,36,100%,79.8,71.8,0.9,30.2,25.2,55.4,45.5%,51.2%,17.4%,15.7%,11%,42.5%
12,Alabama Huntsville Chargers,28,100%,81.9,82.4,1.006,31.3,29,60.4,48.1%,58.2%,16.8%,10.8%,7.6%,43.8%
13,Alabama State Hornets,29,100%,84,67.3,0.801,36.6,23.6,60.2,39.2%,44.8%,16.8%,14%,9.3%,37.4%
14,Alaska-(Anchorage) Sea Wolves,29,100%,72.4,60.4,0.834,32.3,21.3,53.7,39.7%,44.9%,15.2%,12.4%,7.8%,39.1%
15,Alaska-(Fairbanks) Nanooks,26,100%,76.9,68.8,0.894,31.9,25.3,57.2,44.2%,52%,17.6%,9.8%,6.2%,39.5%
16,Albany Great Danes,32,100%,78.5,73.8,0.941,31.5,26.1,57.6,45.4%,50.3%,14.2%,14.9%,9.5%,44.4%
17,Albany State Golden Rams,28,100%,82.1,66.5,0.811,35.9,24.4,60.3,40.4%,45.5%,16%,12.2%,9.4%,38.2%
18,Alberta Golden Bears,30,100%,93.5,85.1,0.911,38.1,30.6,68.7,44.6%,51.6%,16.9%,12.2%,9%,41.4%
19,Albertus Magnus Falcons,27,100%,92,82.4,0.896,35.3,30,65.3,45.9%,50.4%,15.8%,16.4%,11.3%,43.3%
20,Albion Britons,25,100%,83.1,72.3,0.87,35.8,26,61.8,42%,48.2%,15.5%,12.2%,7.8%,39.8%
21,Albright Lions,26,100%,90.2,81.5,0.904,36.2,29.4,65.6,44.8%,51.3%,16.6%,12.6%,8.3%,41.7%
22,Alcorn State Braves,31,100%,79.4,68.6,0.865,32.9,24.2,57.1,42.4%,48.9%,17.3%,12.8%,9.3%,39.7%
23,Alderson-Broaddus,28,100%,80.9,73,0.902,34.2,26.6,60.8,43.7%,50.6%,15.5%,10.9%,8%,40.9%
24,Alfred Saxons,26,100%,84.4,79,0.936,35.5,28.1,63.6,44.2%,51.5%,13.6%,12.7%,8.1%,43%
25,Alfred State Pioneers,15,100%,89.3,66.9,0.75,38.1,25,63.1,39.6%,42.8%,18.4%,12.6%,8%,36.7%
26,Algoma Thunderbirds,28,100%,92.6,70.4,0.761,44.6,26,70.6,36.8%,41.7%,15.2%,9.8%,8.6%,35.8%
27,Alice Lloyd College Eagles,7,100%,97.6,81,0.83,45,28.9,73.9,39.1%,44.2%,13.3%,12.6%,9.1%,39.7%
28,Allegheny Gators,25,100%,81.3,62.4,0.767,37.9,23.3,61.2,38%,44%,16.7%,9.5%,7.6%,34.9%
29,Allen (SC) Yellow Jackets,20,100%,94.4,84.7,0.898,36.7,31.9,68.6,46.5%,50.1%,16.2%,13.5%,9.9%,43.3%
30,Alma Scots,26,100%,81.8,75.8,0.926,32.8,28.2,61,46.3%,54.3%,17.2%,9.6%,6.8%,41.3%
31,Alvernia,25,100%,77.7,67.6,0.87,36.2,24.1,60.2,40%,47.3%,12.7%,11.5%,7.5%,38.8%
32,Ambrose Lions,12,100%,100.2,84.2,0.84,42.2,32.1,74.3,43.2%,48.5%,17.3%,10.1%,8.6%,39.4%
33,American International Yellow Jackets,28,100%,81.1,64.3,0.793,34,22.8,56.8,40.2%,45.7%,18.6%,13.4%,9.2%,37.3%
34,American University Eagles,30,100%,74.6,64.8,0.869,30.8,23.1,53.9,42.8%,50.2%,17.6%,12.5%,8.1%,39.2%
35,Amherst College Mammoths,25,100%,85.7,73.8,0.86,37.4,28.6,66,43.3%,49.7%,16.1%,8.8%,5.8%,39%
36,Anderson (IN) Ravens,27,100%,79.3,82.4,1.04,27.3,27.9,55.2,50.5%,57.3%,16.7%,16.5%,9.7%,47.5%
37,Anderson University Trojans,28,100%,80.5,73.3,0.91,31.7,25.6,57.3,44.7%,50.9%,17.5%,13.8%,9.4%,41.9%
38,Andrews University Cardinals,3,100%,79.7,51,0.64,31,20.3,51.3,39.6%,42.9%,29.7%,8.4%,5.4%,29.7%
39,Angelo State Rams,29,100%,86.9,81.4,0.937,33.2,29.2,62.4,46.8%,52.7%,16%,14.8%,10.6%,44%
40,Anna Maria AMCATS,18,100%,80.8,63.7,0.788,35,24.4,59.4,41.1%,45.6%,17.7%,11.1%,8.3%,37%
41,Antelope Valley,29,100%,84,70,0.833,34.3,24.4,58.8,41.6%,47%,17.5%,14.5%,9.6%,39.4%
42,Appalachian State Mountaineers,33,100%,84.2,75.5,0.896,34.4,25.9,60.3,42.9%,50.2%,16%,15%,9.5%,41%
43,Apprentice Builders,9,100%,93.6,71.3,0.762,43.3,25.4,68.8,37%,41.7%,16.6%,12.9%,10.1%,35.6%
44,Aquinas College Saints,25,100%,77.2,68.4,0.885,31.8,26.3,58.1,45.2%,49.7%,14.9%,12.4%,9.3%,42%
45,Arcadia University Knights,29,100%,82.3,72.6,0.881,32.7,24.9,57.6,43.2%,48.8%,17.1%,15.2%,10%,41.3%
46,Arizona Christian Firestorm,29,100%,87.3,83.9,0.961,32.9,29.8,62.7,47.5%,54.1%,16.4%,14.1%,8.5%,44.5%
47,Arizona State Sun Devils,32,100%,81.8,81.9,1.002,32.5,27.7,60.2,46%,53.4%,12.4%,16.2%,9.8%,46%
48,Arizona Wildcats,35,100%,78.9,79.6,1.009,28.8,28.7,57.4,49.9%,55.7%,14.8%,14.6%,8.9%,47.1%
49,Arkansas Razorbacks,35,100%,81.4,79.7,0.979,32.1,28.5,60.5,47.1%,53.4%,12.9%,14.9%,10.4%,45.7%
50,Arkansas State Red Wolves,32,100%,81.8,73.3,0.895,33.9,26.1,60,43.5%,49.7%,15.6%,13.1%,9%,41.4%
51,Arkansas Tech Wonder Boys,29,100%,88.8,84.9,0.956,39,30.7,69.6,44%,52.3%,13.6%,9.8%,7.1%,41.8%
52,Arkansas-(Fort Smith) Lions,32,100%,87.1,80.6,0.925,33,28.2,61.2,46.1%,52%,17.1%,15.2%,10.8%,43.6%
53,Arkansas-(Little Rock) Trojans,32,100%,77,63.3,0.822,31.7,23.3,55,42.4%,48%,17.7%,12.5%,9%,38.7%
54,Arkansas-(Monticello) Boll Weevils,30,100%,81.5,77.7,0.953,29.7,27.4,57.1,48%,53.9%,17.3%,15.7%,12.3%,44.4%
55,Arkansas-(Pine Bluff) Golden Lions,34,100%,77.5,65.1,0.84,30.8,23.2,54,42.9%,48.8%,18.9%,13.2%,9.3%,39.6%
56,Arlington Baptist Patriots,10,100%,86.1,60.6,0.704,36.8,21.9,58.7,37.3%,42.3%,22.8%,10.5%,7.1%,33.6%
57,Army Black Knights,30,100%,81.3,73.8,0.907,34.5,27.2,61.7,44.1%,52%,15.8%,10%,6.9%,40.3%
58,Asbury Eagles,11,100%,89.4,83.3,0.932,38.4,29.3,67.6,43.3%,50.8%,14.3%,12%,9.4%,41.9%
59,Ashland University Eagles,30,100%,74.4,73.8,0.992,27.5,26,53.5,48.6%,56%,16.7%,13.8%,9.3%,45.5%
60,Assumption College Greyhounds,27,100%,74.7,67.1,0.897,30.9,23.7,54.6,43.4%,51.6%,17.8%,11.2%,8.6%,39.4%
61,Auburn Montgomery Warhawks,28,100%,84.7,75.3,0.889,37,27.7,64.6,42.8%,49.6%,15.3%,9.8%,7%,40%
62,Auburn Tigers,34,100%,85,81.1,0.954,35.4,26.4,61.9,42.7%,50.4%,14.1%,15.6%,10.8%,42.9%
63,Augsburg University Auggies,29,100%,78.2,79,1.01,31.7,27.7,59.4,46.6%,54.5%,13.7%,12.3%,9%,45%
64,Augusta University Jaguars,29,100%,81.8,76.9,0.939,31,27.9,58.9,47.3%,52.3%,15.3%,14.5%,9.4%,44.8%
65,Augustana (IL) Vikings,31,100%,81.5,78.7,0.966,29.9,27.8,57.7,48.2%,54.2%,16.3%,15.2%,8.7%,45.5%
66,Augustana (SD) Vikings,30,100%,83.2,81.7,0.982,33.9,29.8,63.7,46.7%,54.6%,14.5%,10.8%,8%,43.8%
67,Aurora University,29,100%,84.3,81.8,0.969,35.3,29.6,64.8,45.6%,52.4%,12.5%,12.7%,9.4%,44.2%
68,Austin College Roos,24,100%,92,78.5,0.853,39.7,29.3,69,42.4%,48.1%,16.7%,10.6%,8.1%,39.2%
69,Austin Peay Governors,34,100%,83.8,73.1,0.872,33.1,26.8,59.9,44.8%,49.7%,16.4%,14%,9.1%,41.8%
70,Ave Maria Gyrenes,30,100%,81.6,67,0.82,33.6,23.4,57,41.1%,49.2%,20.8%,10.7%,7.3%,36.5%
71,Averett University Cougars,26,100%,91.4,81.5,0.892,36.8,29.5,66.3,44.5%,49%,15.8%,13.7%,9.8%,42.6%
72,Avila University Eagles,32,100%,79.4,70,0.881,30.9,25.8,56.8,45.5%,51.1%,17.9%,12.8%,8.8%,41.4%
73,Azusa Pacific Cougars,32,100%,81.4,74.4,0.914,33.8,25.9,59.8,43.4%,50.3%,15.2%,13.5%,8.1%,41.5%
74,Babson Beavers,26,100%,79.7,77,0.967,31.2,29,60.3,48.2%,56.3%,17.5%,8.9%,6.3%,42.5%
75,Bacone College Warriors,27,100%,88.5,72,0.814,37.1,26.3,63.4,41.5%,46.2%,18.2%,12.3%,9.2%,38.3%
76,Baker University Wildcats,30,100%,79.3,71.4,0.9,30.5,24.9,55.4,44.9%,51.8%,18.5%,13.4%,8.9%,41.7%
77,Baldwin Wallace,27,100%,80,77.4,0.968,33.6,27.1,60.7,44.6%,53.2%,14.4%,11.8%,8.4%,42.5%
78,Ball State Cardinals,32,100%,81.2,74.8,0.921,32.8,26.6,59.3,44.8%,51.2%,15.6%,13.5%,8.8%,42.5%
79,Baptist Bible College (MO) Patriots,5,100%,88.2,38.2,0.433,44.4,14,58.4,24%,29.3%,30.6%,4.1%,3.2%,18.4%
80,Barber-Scotia Sabers,3,100%,101.7,75.3,0.741,36,25,61,41%,48.6%,31.5%,9.5%,5.9%,32.8%
81,Barclay College Bears,10,100%,96.1,72,0.749,38.3,25.7,64,40.2%,46.1%,22.8%,12%,7.8%,34.7%
82,Bard College,25,100%,89.4,71.9,0.804,39.6,25.4,65,39.1%,44.9%,16.4%,12.8%,9.6%,37.4%
83,Barry Buccaneers,32,100%,85.1,86.9,1.022,34.2,31.3,65.4,47.8%,57%,14.7%,10.3%,6.9%,44.3%
84,Barton College Bulldog,30,100%,84.1,80.8,0.96,32.8,29.2,62,47.1%,52.2%,14.4%,14.7%,11.2%,45.2%
85,Baruch Bearcats,27,100%,81,70.2,0.866,33.5,24.6,58.1,42.4%,48.7%,17.6%,13%,8.6%,39.8%
86,Bates College Bobcats,22,100%,83.3,70,0.841,39,25.5,64.5,39.5%,46%,14.8%,9.4%,6.1%,37.9%
87,Baylor Bears,34,100%,80.1,74.7,0.932,31.6,27.5,59.1,46.6%,51.9%,15.9%,12.7%,9.1%,43.4%
88,Becker,7,100%,86.7,73,0.842,36.1,25,61.1,40.9%,46.7%,16.5%,15.8%,10.9%,39.5%
89,Belhaven Blazers,25,100%,91.1,79.7,0.874,36.1,24,60.1,39.9%,48.9%,18.7%,17.3%,10.9%,39.6%
90,Bellarmine Knights,32,100%,73.6,78.6,1.067,25.8,28.8,54.5,52.8%,60.4%,15.6%,12.6%,7.2%,48.3%
91,Bellevue (NE) Bruins,29,100%,80.9,74.2,0.916,34.4,26.3,60.7,43.4%,49.3%,13.3%,13.8%,9.5%,42.5%
92,Belmont Abbey Crusaders,30,100%,83.8,76.1,0.909,35.3,27.6,62.9,43.9%,50%,15.3%,11.5%,9.2%,41.8%
93,Belmont Bruins,32,100%,75.6,77.5,1.025,29.1,27.3,56.4,48.5%,58.6%,15.7%,11.5%,7%,44.4%
94,Beloit Buccaneers,19,100%,84.1,68,0.809,35.7,25.6,61.3,41.8%,47.5%,18.8%,9.9%,6.7%,37.3%
95,Bemidji State Beavers,29,100%,77.3,71.8,0.928,32,26.2,58.2,45%,52.3%,15.4%,11.3%,7.7%,41.8%
96,Benedict College Tigers,31,100%,75.4,73,0.969,28.9,24.6,53.5,46%,52.7%,14.9%,16.4%,11.1%,45.1%
97,Benedictine (IL) Eagles,26,100%,84.2,80.8,0.959,33.1,29,62.1,46.7%,53.2%,15.4%,13.3%,8%,43.9%
98,Benedictine College Ravens,29,100%,80,72.8,0.91,31.7,26.4,58.2,45.5%,52%,17.1%,12.2%,8.5%,41.9%
99,Benedictine University Mesa,25,100%,84.2,73.2,0.87,32.7,25.1,57.8,43.4%,49.5%,18.2%,15.2%,9.3%,41.3%
100,Bentley Falcons,28,100%,81.4,79.4,0.975,32.8,29.2,62,47.1%,54%,14.6%,10.9%,7.8%,44.3%
101,Berea College Mountaineers,24,100%,89.5,68.5,0.765,38.3,25.1,63.4,39.6%,44.8%,19.8%,11.5%,8.7%,35.7%
102,Berkeley (NJ) Knights,1,100%,100,89,0.89,44,34,78,43.6%,48.7%,15%,9%,7%,40%
103,Berkeley (NY) Knights,1,100%,107,84,0.785,55,34,89,38.2%,44.9%,9.3%,10.3%,9.3%,34.6%
104,Berry College Vikings,28,100%,93.1,76.8,0.825,38.9,26.9,65.8,40.9%,45.5%,16.8%,15.4%,10.5%,39.1%
105,Bethany (WV),30,100%,82.9,72.9,0.88,34.7,27.2,61.9,43.9%,48.2%,14.3%,13.3%,9.5%,41.8%
106,Bethany College (KS) Swedes,30,100%,89.4,73.1,0.818,38.8,27,65.7,41%,47.3%,17%,11.4%,7.9%,37.5%
107,Bethany Lutheran College,30,100%,82.9,82.6,0.997,31.9,29.2,61.1,47.8%,55%,15%,13.4%,8.8%,45%
108,Bethel (TN) Wildcats,32,100%,96.6,80,0.828,39.7,28,67.7,41.3%,46.5%,18.2%,13.9%,9.4%,39.1%
109,Bethel College (IN) Pilots,31,100%,84.5,81.8,0.969,31.5,29.5,60.9,48.4%,54%,15.3%,15.1%,9.9%,45.6%
110,Bethel College (KS) Threshers,32,100%,86.9,77.2,0.888,36.5,27.6,64.1,43%,49.8%,15.4%,13%,9.1%,40.8%
111,Bethel University (MN) Royals,28,100%,77.5,77.4,0.999,29.1,28.9,58,49.8%,57.5%,16.1%,11.4%,7.7%,44.8%
112,Bethesda Christian (CA) Flames,18,100%,89.6,63.7,0.71,39.8,22.7,62.5,36.4%,40.8%,19.9%,12%,8.3%,33.7%
113,Bethune-Cookman Wildcats,32,100%,91.4,80.8,0.884,36.3,28,64.3,43.5%,49.4%,17%,15.1%,10.9%,41.1%
114,Binghamton Bearcats,31,100%,76.6,68.3,0.892,31.7,25.1,56.8,44.2%,50.8%,15.6%,12%,8.8%,40.9%
115,Biola Eagles,28,100%,74.5,68.5,0.92,29.7,24.8,54.4,45.5%,51.5%,15.5%,13%,9.6%,43.3%
116,Birmingham Southern College Panthers,27,100%,87.7,81.4,0.928,32.4,28.5,60.9,46.8%,54.3%,17.5%,15.3%,9.6%,43.2%
117,Bishops Gaiters,23,100%,96.2,74.5,0.775,37,27.3,64.2,42.5%,47.3%,23.2%,12.1%,9.5%,37%
118,Black Hills State Yellow Jackets,28,100%,74.4,70.8,0.952,30.8,25.3,56,45.1%,52.2%,14.6%,12.5%,8.8%,42.9%
119,Blackburn Beavers,28,100%,92.7,80.5,0.868,36.1,29.9,66,45.3%,51.7%,18.6%,11.8%,7.6%,40.3%
120,Bloomfield College Bears,32,100%,89.8,82,0.913,37.6,29.3,66.9,43.8%,49.6%,14.9%,12.8%,9.5%,42.4%
121,Bloomsburg University Huskies,27,100%,86.9,80.7,0.928,35.2,28.7,63.9,44.9%,50.5%,14.8%,14%,10.1%,42.9%
122,Blue Mountain College Toppers,28,100%,85.3,70.5,0.827,37.3,24.5,61.7,39.6%,46%,17%,12.8%,9.5%,37.9%
123,Bluefield College,30,100%,87.4,79,0.904,36.3,27.9,64.2,43.4%,49.7%,14.7%,14%,10.3%,42.2%
124,Bluefield State College Big Blues,13,100%,88.2,65.9,0.748,41.1,23.1,64.2,36%,41.4%,17.4%,11.7%,8.8%,34.1%
125,Bluffton,26,100%,78.3,71.6,0.915,32.5,26.9,59.4,45.2%,50.8%,15.4%,10.6%,7.8%,42.1%
126,Bob Jones University Bruins,28,100%,84.3,78.6,0.933,31,27.7,58.7,47.2%,53.4%,18.4%,14.5%,10.3%,43.2%
127,Boise State Broncos,32,100%,81.2,77.5,0.954,32.3,27.2,59.5,45.7%,53.7%,16.2%,12.7%,8.5%,42.9%
128,Boston College Eagles,35,100%,80.9,76.1,0.94,33.3,27,60.3,44.8%,51.9%,15.2%,12.7%,8.8%,42.2%
129,Boston University Terriers,31,100%,77.9,70,0.899,30.4,25.7,56.1,45.9%,52.4%,17.3%,12.8%,8.4%,41.9%
130,Bowdoin Polar Bears,24,100%,80.9,74.8,0.925,32.3,27.6,59.9,46.1%,52.9%,17.1%,10.7%,7.1%,42%
131,Bowie State Bulldogs,28,100%,88,71.9,0.816,36.9,24.1,61,39.5%,44%,16.9%,16.3%,11.2%,38.9%
132,Bowling Green Falcons,32,100%,84.7,75.2,0.889,35.8,25.7,61.4,41.8%,47.9%,14.8%,14.5%,9.2%,41.3%
133,Boyce College Bulldogs,8,100%,84.5,57.4,0.679,39.8,21.5,61.3,35.1%,40.8%,21.2%,7.2%,5.8%,30.9%
134,Bradley Braves,33,100%,75.1,65.9,0.877,30.4,22.8,53.2,42.8%,48.9%,16.7%,14.4%,8.7%,40.7%
135,Brandeis Judges,25,100%,81.4,71,0.872,34.3,24.9,59.2,42.1%,49.2%,17.1%,12.8%,9.3%,39.2%
136,Brandon University Bobcats,27,100%,96.3,81,0.841,41.8,29.4,71.2,41.3%,46.6%,16.4%,11.8%,8.8%,39.1%
137,Brescia University Bearcats,11,100%,89.7,73.3,0.817,38.8,27.2,66,41.2%,46.1%,16.8%,10.8%,7.8%,38.5%
138,Brevard College Tornados,25,100%,82.4,70.8,0.859,33,24.8,57.8,42.9%,50.9%,19.9%,11.5%,8%,38.5%
139,Brewton-Parker Barons,27,100%,86.4,66.8,0.773,39.9,24.1,63.9,37.7%,44.8%,17.7%,9.4%,6.5%,34.5%
140,Briar Cliff Chargers,34,100%,83.4,88.1,1.057,33.3,30,63.2,47.4%,56.7%,13.2%,13.7%,9.4%,46.2%
141,Bridgeport Purple Knights,31,100%,96.6,87.7,0.907,39.8,32.3,72.1,44.8%,51.3%,15.9%,11.3%,7.9%,41.8%
142,Bridgewater College Eagles,28,100%,87,71.7,0.824,38.3,25.2,63.5,39.7%,46.2%,15.9%,13.2%,9.4%,37.9%
143,Bridgewater State Bears,9,100%,81.1,70.2,0.866,32.2,25,57.2,43.7%,48.6%,18.2%,12.3%,7.7%,41.1%
144,Briercrest Clippers,13,100%,98.8,66.3,0.671,43.2,25.5,68.7,37.1%,40.9%,22.8%,8.6%,6.9%,32.2%
145,Brigham Young Cougars,35,100%,74.8,73.8,0.986,28.5,26.2,54.7,47.9%,53.8%,14.8%,15.1%,10.2%,45.9%
146,British Columbia - Okanagan,25,100%,87.7,62.5,0.713,39.5,23.1,62.6,36.9%,42.9%,21.5%,8.1%,6.5%,32.6%
147,British Columbia Thunderbirds,29,100%,97.9,89.3,0.912,37.9,33,70.9,46.5%,52.6%,17.5%,12.3%,9.8%,42.8%
148,Brock Badgers,32,100%,96.2,84.9,0.882,38.8,30.6,69.4,44.1%,49.2%,17.3%,12.8%,9.7%,41.4%
149,Brockport Golden Eagles,26,100%,84.5,81.1,0.959,31.2,27.5,58.7,46.8%,53.1%,15.6%,17.4%,10.7%,45.5%
150,Brooklyn Bulldogs,22,100%,84.8,66.3,0.782,41,23.6,64.6,36.5%,42.9%,14.5%,11.2%,7.7%,35.4%
151,Brown Bears,27,100%,85.2,76.6,0.899,35.1,25.7,60.8,42.2%,47.8%,15.2%,15.7%,10.2%,41.9%
152,Bryan College Lions,25,100%,82.4,72.4,0.879,34.6,26.7,61.4,43.5%,49.3%,15%,12.4%,8.2%,41%
153,Bryant University Bulldogs,31,100%,81.1,69.8,0.86,36.1,24.8,60.9,40.8%,47.6%,15.7%,11.7%,8.4%,38.5%
154,Bryn Athyn College,15,100%,85.3,66.2,0.776,35.9,24.3,60.2,40.3%,45.5%,19.2%,12.3%,8.5%,36.7%
155,Bucknell Bison,35,100%,81.8,80.3,0.983,31.1,27.3,58.4,46.8%,53.6%,15%,16.8%,11.6%,45.3%
156,Buena Vista Beavers,27,100%,81.2,82.1,1.012,30.3,29.3,59.6,49.1%,57.2%,15.8%,13.3%,8.3%,45.5%
157,Buffalo Bulls,36,100%,86.2,84.1,0.976,34.6,30.6,65.2,46.9%,54.3%,14.3%,12%,8%,44.4%
158,Buffalo State Bengals,24,100%,91.3,77.1,0.845,36.6,28.5,65.1,43.8%,48.2%,18.1%,13.3%,9.8%,40.1%
159,Butler Bulldogs,35,100%,79.6,78.4,0.985,32.6,28.9,61.5,47%,53.6%,13.6%,11.1%,8.1%,44.5%
160,Cabrini Caveliers,29,100%,88.6,86.2,0.973,35.6,32.2,67.8,47.5%,53.8%,13.8%,12.9%,9.4%,44.6%
161,Cairn Highlanders,26,100%,84,72.8,0.866,33.6,27.9,61.5,45.3%,50.8%,18.4%,10.6%,8.1%,40.3%
162,Cal Lutheran Kingsmen,21,100%,81.3,74.8,0.92,34,26.7,60.7,43.9%,50.2%,14.6%,13.1%,8.7%,42.2%
163,Cal Poly Pomona Broncos,29,100%,77.4,69,0.891,32.1,24.3,56.4,43.1%,49.5%,15.1%,14%,8.3%,41.7%
164,Cal Poly SLO Mustangs,31,100%,76.6,66.8,0.873,35.3,23.2,58.5,39.6%,46.9%,14.3%,10.7%,7.4%,38.6%
165,Cal State Bakersfield Roadrunners,30,100%,78.4,65.2,0.832,33,23.1,56.1,41.1%,46.6%,16.7%,13.3%,8.7%,39%
166,Cal State Dominguez Hills Toros,29,100%,80.6,71.3,0.885,34.7,24.6,59.3,41.5%,48.5%,15.2%,13.3%,8.9%,40.2%
167,Cal State East Bay Pioneers,28,100%,80.8,69.2,0.857,34.1,24.6,58.7,42%,47.6%,16.5%,13.3%,9.2%,39.8%
168,Cal State Fullerton Titans,32,100%,78.1,71.9,0.92,28.8,25,53.8,46.5%,51.3%,17.7%,16.2%,11.8%,44.1%
169,Cal State Los Angeles Golden Eagles,29,100%,86.4,76.3,0.883,37,25.9,62.9,41.2%,49.1%,15.4%,13.9%,10.1%,39.9%
170,Cal State Monterey Bay Otters,25,100%,80.8,68.3,0.845,33.5,24.8,58.4,42.6%,50.8%,19.6%,9.9%,7.4%,37.1%
171,Cal State Northridge Matadors,30,100%,75.4,65.8,0.873,32.5,24.3,56.8,42.8%,48.2%,15.6%,11.9%,9.4%,39.8%
172,Cal State San Bernardino Coyotes,27,100%,78,70.5,0.905,32.4,24.7,57.1,43.2%,50.5%,16.1%,12.5%,8.2%,41%
173,Cal State San Marcos Cougars,27,100%,79.4,78.9,0.993,32.7,26.8,59.5,45.1%,52.7%,12.9%,15.1%,10.2%,44.6%
174,Cal State Stanislaus Warriors,29,100%,79.2,72.3,0.913,32.8,25.7,58.5,43.9%,49.9%,15.1%,13.4%,8.9%,41.9%
175,Caldwell University Cougars,29,100%,80.9,72.2,0.893,31.4,25.8,57.1,45.1%,50.5%,17.1%,14.1%,7.7%,42.1%
176,Calgary Dinos,34,100%,93.4,85.1,0.911,38.1,30.9,69,44.8%,51.8%,16.9%,11.2%,9.1%,41.2%
177,California (PA) Vulcans,28,100%,86.2,78.9,0.915,35.9,29.4,65.3,45%,51.1%,15.1%,11.5%,8.8%,42.2%
178,California Baptist Lancers,33,100%,81.2,81.7,1.006,31.4,29.1,60.5,48.1%,56.2%,15.4%,11.9%,7.8%,45.4%
179,California Golden Bears,32,100%,83.8,67.4,0.804,35.3,24,59.3,40.4%,44.3%,17.1%,14.9%,10.8%,38.6%
180,California Maritime Keelhaulers,29,100%,84.7,76,0.897,36.2,27.1,63.2,42.8%,50.1%,15.7%,11.4%,7.1%,40.2%
181,California Miramar Falcons,4,100%,80.3,59,0.735,34,23.3,57.3,40.6%,43.9%,19%,12.5%,10.6%,36.1%
182,Caltech Beavers,25,100%,81.4,69.1,0.849,34.7,24.6,59.3,41.5%,48.9%,16.9%,12.1%,8%,38.2%
183,Calumet College St. Joseph Crimson Wave,23,100%,85.4,81.4,0.954,38.1,29.7,67.8,43.8%,52.3%,12%,10.3%,7.1%,42.2%
184,Calvary Bible Warriors,6,100%,79.2,50.7,0.64,33.3,18.2,51.5,35.3%,41.6%,26.9%,9.9%,6.3%,28.8%
185,Calvin Knights,26,100%,85.7,76.3,0.89,36.8,28.3,65.1,43.5%,50.1%,15.7%,10.2%,7.3%,40.2%
186,Cameron University Aggies,29,100%,81.8,72.1,0.881,35.6,25.2,60.8,41.4%,48%,14.5%,13.4%,9.4%,40.3%
187,Campbell Fighting Camels,34,100%,74.8,75.4,1.008,28.8,26.1,54.9,47.6%,55.9%,15.1%,13.7%,10.4%,45.2%
188,Campbellsville University Tigers,35,100%,85.8,83.2,0.97,35.3,31.1,66.4,46.8%,53.3%,13.2%,11.2%,8.2%,44.5%
189,Canisius Golden Griffins,33,100%,79.3,75.6,0.954,31.9,27.2,59.1,46%,53.8%,15.5%,12%,8.4%,42.6%
190,Cankdeska Cikana Community College,1,100%,94,74,0.787,38,29,67,43.3%,47.8%,21.3%,9.6%,9.6%,38.3%
191,Cape Breton Capers,29,100%,98.7,78.8,0.798,43.4,26.9,70.3,38.3%,43.8%,16.9%,14.2%,11.6%,37.5%
192,Capilano University Blues,3,100%,92.3,64.7,0.7,42,23.3,65.3,35.7%,42.6%,23.1%,6.9%,4.7%,31%
193,Capital,26,100%,79.7,73.5,0.923,30.9,26.5,57.4,46.2%,51.7%,16.1%,13.8%,9.3%,43.4%
194,Cardinal Stritch Wolves,30,100%,80.5,70.9,0.881,31.2,27,58.2,46.4%,52.6%,19%,11.1%,7.2%,40.6%
195,Carleton College Knights,26,100%,78.1,70,0.897,30.1,26.4,56.5,46.7%,51.4%,16.7%,13.3%,9.2%,43.1%
196,Carleton University Ravens,33,100%,92.5,86.4,0.933,38,31.9,69.9,45.7%,52.3%,15.4%,10.9%,8.6%,42.8%
197,Carlow Celtics,14,100%,91.9,67.5,0.735,41.4,25.1,66.6,37.8%,42.3%,17.8%,11.1%,8.6%,35%
198,Carnegie Mellon Tartans,25,100%,83.4,70.1,0.84,36,26.8,62.8,42.6%,47.6%,15.5%,11.8%,9.1%,39.4%
