#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1171,Davis & Elkins Senators,26,100%,83.3,79.2,0.95,33.7,28,61.7,45.4%,53.4%,15.4%,12.3%,8.9%,42.8%
1172,Davidson Wildcats,33,100%,73.3,67.5,0.921,31.3,24.2,55.5,43.6%,50.8%,14.2%,12.3%,9.4%,41.5%
1173,Davenport Panthers,28,100%,79.8,70.4,0.882,31.4,24.5,55.9,43.9%,50.5%,18%,13.3%,7.6%,40.7%
1174,Dartmouth Big Green,27,100%,75.8,71.9,0.949,30.8,26.4,57.2,46.2%,53.3%,15.9%,10.2%,6.7%,42.6%
1175,Dalton State,28,100%,86.7,72.1,0.832,36,26.3,62.3,42.2%,48.1%,19.1%,11%,7.7%,37.9%
1176,Dallas Christian Crusaders,10,100%,95.9,104.6,1.091,32.7,38.4,71.1,54%,61.3%,14.6%,13.5%,9.8%,49.9%
1177,Dallas Baptist Patriots,32,100%,83.7,69.9,0.836,35,25.3,60.3,42%,47.9%,18.5%,11.7%,8.1%,38.3%
1178,Dalhousie Tigers,30,100%,89,70.6,0.793,38.5,25.2,63.7,39.5%,44.8%,18.7%,12.2%,10.5%,37%
1179,Dakota Wesleyan Tigers,33,100%,79.2,72.2,0.912,33.8,27.1,60.9,44.4%,49.7%,14.1%,11.1%,9.4%,42.2%
1180,Dakota State Trojans,30,100%,81.5,78.9,0.967,33,28.9,61.9,46.6%,53.5%,14.2%,12%,7.8%,43.7%
1181,Daemen College Wildcats,30,100%,84.2,69.8,0.829,38.4,26,64.4,40.4%,45.9%,15.6%,9.9%,7.8%,37.6%
1182,Curry,24,100%,91.3,86.4,0.947,36,32.3,68.3,47.3%,54%,15.9%,12%,9%,43.4%
1183,Cumberlands (KY) Patriots,26,100%,81.5,68.3,0.839,35.2,25,60.2,41.6%,46.4%,16.4%,11.9%,9.3%,39.4%
1184,Cumberland (TN) Phoenix,28,100%,83,74.8,0.902,33.6,27.5,61.1,45.1%,51.1%,15.8%,12.6%,9.1%,41.6%
1185,Culver-Stockton Wildcats,33,100%,91.1,90,0.988,36.5,32.6,69.1,47.2%,53.4%,12.6%,13.9%,10.3%,46.1%
1186,Crown College (MN),27,100%,83.7,79,0.944,34.5,29,63.5,45.7%,51.4%,13.7%,12.9%,8.9%,43.6%
1187,Crowleys Ridge College Pioneers,16,100%,99.9,100.2,1.003,34.8,36.8,71.6,51.4%,58.3%,17.6%,13.4%,9.7%,46.4%
1188,Creighton Bluejays,33,100%,80.8,72.7,0.9,35.8,27.1,62.9,43%,49.2%,13.7%,10.4%,7.8%,40.9%
1189,Covenant College Scots,28,100%,91.8,80.9,0.882,35.3,29.6,64.9,45.6%,50.6%,18.7%,13.3%,9.6%,41.3%
1190,Cornerstone University Golden Eagles,27,100%,79.6,68,0.854,37.7,25.1,62.8,40%,45.7%,12.3%,10.4%,7.6%,39.3%
1191,Cornell College Rams,14,100%,81.4,72.5,0.89,35.1,26.8,61.9,43.3%,48.8%,14.7%,11.5%,9.3%,41%
1192,Cornell Big Red,28,100%,83.3,79.9,0.958,34.9,28.8,63.6,45.2%,52.4%,13.5%,12.3%,8.2%,42.9%
1193,Corban University Warriors,32,100%,85.1,73.5,0.863,38.9,27.7,66.6,41.5%,47.1%,13.9%,10.1%,7.6%,39.4%
1194,Coppin State Eagles,31,100%,82.2,73.5,0.895,34.4,25.4,59.8,42.4%,48.9%,15.2%,14.1%,9.3%,41.2%
1195,Connecticut Huskies,32,100%,79.1,73,0.923,32.8,25.1,57.9,43.3%,51.1%,14.8%,13.5%,9%,41.8%
1196,Connecticut College Camels,23,100%,84.1,77.7,0.923,36,28,64,43.8%,51.3%,14.6%,10.9%,7.8%,41.5%
1197,Concordia of Edmonton Thunder,3,100%,87,92.3,1.061,34,30,64,46.9%,56%,13.8%,16.1%,10.7%,45.6%
1198,Concordia (WI) Falcons,27,100%,87.2,75.8,0.869,38.4,28.2,66.6,42.4%,48.1%,14.8%,10.8%,7.4%,40%
1199,Concordia (TX) Tornadoes,27,100%,95,86.4,0.91,32.9,29.5,62.4,47.3%,53.2%,20.5%,16.3%,10%,42.8%
1200,Concordia (St. Paul) Golden Bears,31,100%,76.7,78.5,1.024,31.9,27.6,59.6,46.4%,54.7%,12.1%,12.9%,9.7%,45.4%
1201,Concordia (QUE) Stingers,32,100%,93.9,73.2,0.779,39.8,26.8,66.6,40.2%,45.4%,19.8%,11.1%,8.7%,36.6%
1202,Concordia (OR) Cavaliers,27,100%,80.4,77,0.958,31.6,28.1,59.7,47.1%,53.6%,14.7%,13.2%,9%,44.3%
1203,Concordia (NY) Clippers,28,100%,87.6,80.9,0.923,34.3,30.1,64.4,46.8%,53.9%,18%,10.6%,6.4%,41.4%
1204,Concordia (NE) Bulldogs,31,100%,82.7,77.9,0.942,34.4,28.2,62.5,45%,51.2%,14%,12.8%,9.2%,43.1%
1205,Concordia (Moorhead) Cobbers,24,100%,77.5,76.1,0.982,31.9,26.8,58.7,45.6%,52.7%,12.4%,14.4%,9.8%,45.2%
1206,Concordia (MI) Cardinals,24,100%,80,74,0.926,33.3,27.3,60.6,45%,51.2%,14.6%,12%,8.9%,42.5%
1207,Concordia (Irvine) Eagles,31,100%,80.8,69.8,0.864,28.5,25.1,53.6,46.8%,52.1%,21.7%,14.2%,8.5%,41%
1208,Concordia (Chicago) Cougars,25,100%,92.2,90.4,0.98,35.1,32.2,67.3,47.8%,54.6%,15.5%,13.7%,8.4%,45.1%
1209,Concordia (AL) Hornets,3,100%,97,93.7,0.966,34.3,30.3,64.7,46.9%,55.2%,19.2%,17.2%,12%,45%
1210,Concord Mountain Lions,32,100%,85.3,80.5,0.945,35.1,28.4,63.5,44.7%,50.9%,13.9%,14.3%,10.6%,43.6%
1211,Columbus State Cougars,26,100%,83.9,80.5,0.96,31.3,28.8,60,47.9%,54.8%,16.6%,14.5%,11%,44.4%
1212,Columbia Lions,26,100%,80.6,78.5,0.975,32.3,27.2,59.5,45.8%,54.2%,15.3%,13.1%,8.1%,43.4%
1213,Columbia International Rams,26,100%,90.4,88.7,0.98,34.7,32.2,66.9,48.1%,55.7%,15.4%,13.1%,10%,44.5%
1214,Columbia (MO) Cougars,32,100%,80.5,68.8,0.855,35.4,25.2,60.6,41.6%,48.4%,15.9%,11.2%,7.9%,38.5%
1215,Colorado-(ColoradoSprings) Mountain Lions,29,100%,83.7,78.6,0.938,34.2,27.9,62,44.9%,50.8%,14.3%,13.9%,9.3%,43.7%
1216,Colorado Tigers,26,100%,80.6,72.3,0.897,35.7,25.6,61.3,41.7%,48.4%,13.5%,12.5%,8.4%,40.9%
1217,Colorado State-(Pueblo) ThunderWolves,27,100%,83,77,0.928,34.4,28,62.4,44.9%,50.5%,13.9%,13.4%,9.6%,43.2%
1218,Colorado State Rams,32,100%,81.4,78.3,0.962,32.6,27.3,59.9,45.6%,53.5%,15%,13.9%,9.3%,43.2%
1219,Colorado Mines Orediggers,31,100%,75.4,70.2,0.931,32.2,25.5,57.7,44.2%,49.9%,13.2%,12.9%,9.9%,42.9%
1220,Colorado Mesa Mavericks,29,100%,85.6,82.9,0.969,34.5,28.6,63.1,45.3%,53%,14.8%,13.2%,8.4%,43.5%
1221,Colorado Christian Cougars,28,100%,81.2,86.7,1.068,28.9,31.1,59.9,51.8%,59.1%,13.7%,15.2%,9.7%,48.7%
1222,Colorado Buffaloes,32,100%,79.5,72.5,0.912,34.5,25.2,59.7,42.1%,49.1%,13.1%,13.7%,8.8%,41.6%
1223,College of the Ozarks Bobcats,31,100%,83.2,74.9,0.901,33.3,27,60.3,44.8%,51.2%,17.1%,12.6%,9.1%,41.3%
1224,College of The Bahamas,4,100%,100.5,87.8,0.873,39.8,32.3,72,44.8%,52.1%,17.4%,12.2%,9.2%,40.5%
1225,College of St Joseph (VT) Fighting Saints,4,100%,96.5,94.8,0.982,36,31.3,67.3,46.5%,53.9%,14%,19.7%,11.1%,45.3%
1226,College of New Jersey Lions,27,100%,83.1,72.8,0.875,35.8,26.2,62,42.3%,48.6%,15.4%,12.2%,8.2%,39.9%
1227,College of Idaho Yotes,35,100%,76.6,63.5,0.829,34.1,24.1,58.2,41.4%,47.2%,16%,9.4%,6.9%,38%
1228,Colgate Raiders,33,100%,75.5,69.8,0.925,30.8,25,55.8,44.8%,52.1%,16.5%,11.7%,7.6%,41.5%
1229,Colby-Sawyer Chargers,3,100%,91,78,0.857,39.3,28.7,68,42.2%,49%,16.1%,10.6%,7%,38.8%
1230,Colby Mules,24,100%,89.4,77.1,0.863,38,27.9,65.8,42.3%,48.1%,15.8%,12.6%,7.8%,39.9%
1231,Coker Cobras,29,100%,92.3,84.8,0.919,33,30.2,63.2,47.8%,54.2%,20%,14.3%,9.6%,42.4%
1232,Coe College Kohawks,26,100%,77.5,74.9,0.966,31.7,26.6,58.2,45.6%,52.5%,14.1%,13.2%,9.1%,43.9%
1233,Coastal Georgia Mariners,30,100%,89,79.1,0.888,36.4,27.9,64.3,43.4%,50.1%,15.8%,14.1%,9.7%,41.3%
1234,Coastal Carolina Chanticleers,32,100%,78.8,69.6,0.883,34.4,22.9,57.3,40%,47.4%,15.1%,14.7%,9.6%,39.8%
1235,Coast Guard Academy Bears,23,100%,84.7,77.7,0.918,35.3,28.7,63.9,44.8%,52.1%,16%,10.2%,7.1%,41.1%
1236,Cleveland State Vikings,35,100%,80.6,74.3,0.923,32.1,26.7,58.9,45.4%,52.4%,17%,12.3%,8.4%,41.8%
1237,Clemson Tigers,35,100%,76.7,65.1,0.848,34.7,23.3,58.1,40.2%,46.7%,14.9%,11%,8.1%,37.9%
1238,Clayton State Lakers,30,100%,83,72.5,0.874,33.3,26.1,59.4,43.9%,49.7%,17.4%,12.9%,10%,40.9%
1239,Clarkson University Golden Knights,25,100%,82.1,72,0.877,35.6,24,59.6,40.3%,47.5%,15.2%,13.7%,9.8%,39.7%
1240,Clarks Summit University Defenders,26,100%,85.5,80.7,0.943,33.4,30.2,63.6,47.4%,53.2%,15.6%,12.6%,9.8%,43.7%
1241,Clarke University Pride,31,100%,90.3,83.8,0.928,37.1,30.6,67.7,45.2%,51.8%,14.5%,13%,10%,42.7%
1242,Clark MA Cougars,23,100%,85.9,84.4,0.983,30.2,32.3,62.6,51.7%,59.1%,18.9%,10.8%,7.3%,44.5%
1243,Clark Atlanta Panthers,20,100%,82.4,69.5,0.843,34.9,24.2,59.1,40.9%,46.4%,16%,14.6%,10.1%,39.6%
1244,Clarion Golden Eagles,28,100%,88.4,83.5,0.945,34.9,30.8,65.7,46.8%,53.1%,14.9%,12.8%,8.9%,44%
1245,Claremont-Mudd-Scripps Stags,25,100%,78.2,67.1,0.858,33.4,23.1,56.5,40.9%,46.7%,15.2%,14.1%,9.3%,40.2%
1246,Claflin Panthers,31,100%,80,63.8,0.797,33.4,21.2,54.6,38.8%,44.2%,18.1%,15.7%,10.9%,37.9%
1247,City College of New York (CCNY) Beavers,20,100%,84.9,81.2,0.957,32.3,29.7,61.9,47.9%,54.1%,15.4%,13.9%,9.3%,44.7%
1248,Citadel Bulldogs,32,100%,91.5,87.6,0.957,34.7,31.8,66.4,47.8%,55.6%,17.8%,11.5%,7.4%,43%
1249,Cincinnati Clermont,3,100%,102.3,118.3,1.156,38.3,47,85.3,55.1%,61.3%,7.5%,10.1%,9.1%,53.7%
1250,Cincinnati Christian Eagles,10,100%,88.3,90.3,1.023,33.6,34.5,68.1,50.7%,57.6%,13.9%,10.4%,7.8%,47%
1251,Cincinnati Bearcats,36,100%,75.6,56.9,0.753,34.9,20.4,55.3,36.9%,42.7%,17.9%,10.4%,7.7%,34.4%
1252,Christopher Newport Captains,29,100%,83.2,65,0.782,37.8,23.8,61.6,38.7%,42.7%,15.4%,12.6%,9.5%,37.3%
1253,Christian Brothers University Buccaneers,30,100%,76.8,69.9,0.909,33.8,26.3,60.1,43.7%,49.9%,13.8%,10.2%,8.6%,41.3%
1254,Christendom Crusaders,4,100%,97,95.3,0.982,40.3,35.5,75.8,46.9%,55.1%,12.1%,11.9%,9.5%,43.8%
1255,Chowan Hawks,24,100%,84.3,70.3,0.834,35.8,25.3,61,41.4%,47.4%,17.3%,12.4%,9.4%,38.5%
1256,Chico State Wildcats,27,100%,73.4,64,0.872,31.8,23.5,55.3,42.5%,48.4%,15.2%,11.5%,7.9%,40.2%
1257,Chicago State Cougars,32,100%,83,83.8,1.009,29.8,29,58.8,49.3%,56.9%,15.9%,16.3%,10.4%,46.4%
1258,Chicago Maroons,25,100%,80.8,71.2,0.881,36,26.2,62.2,42.2%,47.9%,14.3%,10.8%,7.3%,40.2%
1259,Cheyney University Wolves,25,100%,93.2,86.4,0.927,36.9,30.2,67.2,45%,52.3%,16.5%,13.9%,10.9%,42.5%
1260,Chestnut Hill Griffins,26,100%,84.7,78.9,0.931,35.8,27.7,63.5,43.6%,50.2%,13.6%,14.2%,9.6%,42.5%
1261,Chattanooga Mocs,33,100%,77.5,72.9,0.941,30.2,27.3,57.5,47.5%,53.5%,16.7%,11%,7.9%,43.2%
1262,Chatham University Cougars,25,100%,78.3,68.8,0.879,29.2,26,55.2,47.2%,51.9%,19%,13.1%,8.9%,41.7%
1263,Charlotte 49ers,29,100%,81.7,79,0.967,32.1,28.9,61,47.3%,53.9%,15%,13.1%,9.6%,44.6%
1264,Charleston Southern Buccaneers,31,100%,76.3,68.4,0.896,30.3,23,53.3,43.1%,51.7%,19.4%,12.7%,9.3%,39.8%
1265,Charleston Cougars,34,100%,75.7,68,0.899,32.1,24.2,56.3,43%,49.2%,15%,12.4%,8.5%,41.3%
1266,Charleston (WV) Golden Eagles,31,100%,81.1,74.9,0.924,34.8,26.3,61.1,43%,50.3%,14.2%,12.6%,8.9%,41.4%
1267,Chapman University Panthers,26,100%,76.7,66.9,0.872,32.5,24.9,57.5,43.4%,48.5%,15.1%,12.2%,8%,40.7%
1268,Champion Baptist College Tigers,1,100%,92,86,0.935,41,30,71,42.3%,49.3%,10.9%,16.3%,13%,43.5%
1269,Chaminade Swords,28,100%,80.5,74.6,0.927,33.8,27.2,61,44.6%,51.2%,14.3%,12.3%,9%,42.7%
1270,Chadron State Eagles,28,100%,78.5,77.8,0.991,29.6,28.3,57.9,48.9%,56%,15.5%,13.5%,9%,45.1%
1271,Centre (KY) Praying Colonels,26,100%,79.7,71.7,0.899,32.9,26.5,59.4,44.6%,50.9%,16.2%,11.6%,8.3%,41.1%
1272,Central Washington Wildcats,28,100%,85.2,76.1,0.893,35.6,26.1,61.8,42.3%,49.2%,15.7%,13.6%,8.7%,40.8%
1273,Central State Marauders,29,100%,81.1,73.2,0.903,32.4,26.4,58.9,44.9%,51.8%,16.6%,12.6%,8.5%,41.5%
1274,Central Pennsylvania College Knights,9,100%,90.2,85,0.942,34.4,28.2,62.7,45%,54.1%,16.9%,15.6%,9.9%,43%
1275,Central Oklahoma Bronchos,30,100%,75.2,67.3,0.895,31.3,22.9,54.2,42.2%,49.6%,16.3%,13.9%,10.1%,40.4%
1276,Central Missouri Mules,30,100%,72.1,65.4,0.908,29,22.8,51.8,44%,51.7%,17.4%,12.6%,7.6%,40.8%
1277,Central Michigan Chippewas,36,100%,79.6,73.4,0.922,33.7,26.7,60.4,44.2%,51.5%,15.4%,11%,7.8%,41.2%
1278,Central Methodist University Eagles,34,100%,79.2,68.5,0.865,31,24.7,55.7,44.3%,50.4%,19.6%,12.3%,8.3%,39.7%
1279,Central Connecticut State Blue Devils,32,100%,77.4,71.6,0.924,33,25.5,58.5,43.6%,51%,14.1%,12.2%,8.7%,41.5%
1280,Central Christian (MO) Saints,7,100%,95,99.9,1.051,35.7,38.4,74.1,51.8%,58.6%,12.6%,11.4%,9.6%,48.4%
1281,Central Christian (KS) Tigers,32,100%,87.2,73.9,0.848,35,25.1,60.1,41.8%,48%,18.3%,14.8%,9.9%,39.5%
1282,Central Baptist College Mustangs,33,100%,80.5,70.9,0.881,31.2,24.2,55.4,43.6%,50.1%,17.8%,15.7%,9.9%,41.3%
1283,Central Arkansas Bears,35,100%,87.9,78.4,0.893,34.7,27.7,62.5,44.4%,50.1%,16.3%,15.1%,10.4%,41.9%
1284,Central (IA),28,100%,86.1,83.8,0.973,33.5,28.8,62.3,46.2%,53.9%,15.3%,14.6%,8.9%,44.2%
1285,Centenary University Cyclones,24,100%,79.1,71.2,0.9,28.7,26.3,55,47.8%,53.5%,19.5%,12.9%,8.9%,42.3%
1286,Centenary Gentlemen,25,100%,83.6,74,0.886,31.8,25.4,57.2,44.4%,51.5%,18.9%,15.1%,10.2%,41.6%
1287,Cedarville Yellow Jackets,27,100%,82.1,75,0.914,34.2,26.4,60.6,43.6%,50.2%,14.4%,13.5%,8.5%,42%
1288,Cazenovia,12,100%,88.8,72.8,0.82,38.2,25.3,63.4,39.8%,44.7%,15.7%,14.5%,8.4%,38.6%
1289,Catholic University Cardinals,25,100%,79.4,72.3,0.91,31.4,25.3,56.8,44.6%,52.7%,17.5%,12.9%,8.1%,41%
1290,Catawba College Indians,26,100%,88.1,81.7,0.927,33.9,27.8,61.7,45.1%,52.6%,17.8%,14.6%,10.3%,42.1%
1291,Castleton,4,100%,90.8,85.5,0.942,27.5,32.5,60,54.2%,60.4%,22.6%,14.9%,8.3%,44.1%
1292,Case Western Reserve Spartans,25,100%,84.3,76.7,0.91,36.8,28.2,65,43.4%,49.9%,13.2%,11.8%,8.4%,41.3%
1293,Carver College Cougars,16,100%,89.6,87.1,0.971,33.1,31.8,64.9,49%,55.8%,16.6%,13.5%,10.2%,44.8%
1294,Carthage Red Men,25,100%,80.4,71.7,0.891,33.9,25.4,59.4,42.9%,49.4%,15.9%,12.2%,7.6%,40.4%
1295,Carson-Newman University Eagles,31,100%,86.4,79.6,0.922,39.3,28.5,67.8,42%,50.3%,13%,10.1%,8.1%,40.6%
1296,Carroll (WI) Pioneers,25,100%,75.4,69.6,0.923,28,24,52,46.2%,53.5%,18.8%,15.2%,9.8%,42.2%
1297,Carroll (MT) Saints,31,100%,76.4,65,0.852,30.6,23.6,54.2,43.5%,49.4%,19.3%,12%,8.4%,39.2%
1298,Carolina Christian College Centurions,3,100%,109,112.7,1.034,33.7,37.3,71,52.6%,61.5%,21.7%,15%,9.5%,47.1%
1299,Carnegie Mellon Tartans,25,100%,83,76.6,0.922,34.4,28,62.4,44.9%,51.6%,15.6%,11.8%,9.1%,41.8%
1300,Carlow Celtics,14,100%,92.9,96.1,1.035,33.9,36.5,70.4,51.8%,57.9%,13.9%,12.8%,10.3%,47.9%
1301,Carleton University Ravens,33,100%,87.1,61,0.7,39.3,20.3,59.6,34.1%,39.8%,21.3%,11.7%,9%,32.8%
1302,Carleton College Knights,26,100%,75.1,65.9,0.878,30.4,24.2,54.6,44.3%,50.8%,18.6%,11%,7.8%,39.8%
1303,Cardinal Stritch Wolves,30,100%,80.8,73.3,0.907,32.6,25.6,58.2,44%,51%,16.9%,12.7%,8.2%,41.2%
1304,Capital,26,100%,78.2,75.2,0.962,32.3,26.1,58.4,44.6%,52.5%,14.5%,12.6%,7.9%,42.9%
1305,Capilano University Blues,3,100%,92.3,104.7,1.134,30.3,39.7,70,56.7%,63.8%,14.8%,12.3%,10.1%,51.6%
1306,Cape Breton Capers,29,100%,98.1,87.2,0.889,38.3,30.7,69,44.5%,50.4%,18%,14.2%,9.8%,41.7%
1307,Cankdeska Cikana Community College,1,100%,96,95,0.99,42,41,83,49.4%,56%,12.5%,5.2%,5.2%,42.7%
1308,Canisius Golden Griffins,33,100%,79.5,70.7,0.89,30.7,24.8,55.5,44.7%,50.3%,18.3%,13.9%,9%,41.6%
1309,Campbellsville University Tigers,35,100%,84.2,72.7,0.864,36.7,27.1,63.8,42.5%,48.1%,15.3%,11.2%,9.2%,40.2%
1310,Campbell Fighting Camels,34,100%,78.2,70.8,0.905,32,25.3,57.3,44.1%,50.2%,15.9%,12.9%,8.9%,41.7%
1311,Cameron University Aggies,29,100%,81.1,71.9,0.886,32.3,24.2,56.5,42.9%,50%,17.1%,15.2%,9.1%,41.2%
1312,Calvin Knights,26,100%,81.3,78,0.96,34,27.3,61.3,44.6%,51.4%,12.8%,13.7%,8.9%,44.1%
1313,Calvary Bible Warriors,6,100%,93.2,100.5,1.079,34,40.7,74.7,54.5%,62.6%,14.7%,7.7%,7.2%,48.3%
1314,Calumet College St. Joseph Crimson Wave,23,100%,84.3,74.9,0.889,33.3,26.4,59.7,44.2%,51.5%,18.6%,12%,7.1%,40.1%
1315,Caltech Beavers,25,100%,82,75.7,0.923,32.2,27.1,59.3,45.7%,51.5%,15.9%,13.7%,9%,43%
1316,California Miramar Falcons,4,100%,86.8,77,0.888,29.3,27.5,56.8,48.5%,54%,20.5%,17.3%,9.2%,42.9%
1317,California Maritime Keelhaulers,29,100%,86.5,75.7,0.874,33.3,27.2,60.5,44.9%,50.4%,19.1%,13.4%,8.6%,40.9%
1318,California Golden Bears,32,100%,79.9,77,0.964,30.2,26.5,56.8,46.8%,54.5%,16.5%,14.5%,9.7%,43.8%
1319,California Baptist Lancers,33,100%,80.3,68.4,0.851,36.5,26.1,62.6,41.7%,46%,12.9%,11.8%,8.8%,40.2%
1320,California (PA) Vulcans,28,100%,87.9,83.6,0.951,35.7,31.5,67.1,46.9%,52.8%,15%,11.5%,8.7%,43.1%
1321,Calgary Dinos,34,100%,92.2,72,0.781,37.2,25.1,62.3,40.2%,46.7%,22.8%,11.1%,7.6%,35.8%
1322,Caldwell University Cougars,29,100%,81,67.2,0.829,32.1,23.1,55.2,41.8%,49%,20.4%,13%,8.3%,38%
1323,Cal State Stanislaus Warriors,29,100%,76.6,68.4,0.894,32.4,23.9,56.3,42.4%,50.9%,17.1%,11.3%,7.9%,39.1%
1324,Cal State San Marcos Cougars,27,100%,81.5,72.7,0.892,34.7,26.3,61,43.1%,50.2%,15.2%,12.4%,9%,40.3%
1325,Cal State San Bernardino Coyotes,27,100%,78.5,70.3,0.895,30.8,23.9,54.7,43.7%,50.5%,18.1%,15%,9.9%,41%
1326,Cal State Northridge Matadors,30,100%,77.2,73,0.945,31.3,26.5,57.8,45.9%,51.4%,13.7%,13.3%,9.5%,44.2%
1327,Cal State Monterey Bay Otters,25,100%,84.5,79,0.936,35.2,28.8,64,44.9%,51.1%,13.2%,13.2%,8.9%,43.6%
1328,Cal State Los Angeles Golden Eagles,29,100%,86.6,78.6,0.908,32,28,60,46.7%,53.2%,18.7%,14.4%,9.1%,42.5%
1329,Cal State Fullerton Titans,32,100%,79.7,69.4,0.87,34.3,23.8,58.1,41%,46.9%,15.6%,13.4%,9.4%,40.4%
1330,Cal State East Bay Pioneers,28,100%,77.9,71,0.911,31.5,23.6,55.1,42.8%,49.4%,15.4%,16.1%,10.5%,42.3%
1331,Cal State Dominguez Hills Toros,29,100%,81.7,74.9,0.918,34.8,26.4,61.2,43.2%,49.1%,13.7%,13%,8.4%,42.4%
1332,Cal State Bakersfield Roadrunners,30,100%,76.6,67.9,0.886,30.7,22.4,53.1,42.2%,49.8%,17.4%,15.4%,10.1%,40.7%
1333,Cal Poly SLO Mustangs,31,100%,76.6,72.8,0.951,31.2,25.8,57,45.3%,51.6%,14.1%,13.5%,9.2%,44%
1334,Cal Poly Pomona Broncos,29,100%,76.5,60.7,0.793,31.4,19.3,50.7,38.1%,45.4%,20.2%,15.9%,9.7%,36.5%
1335,Cal Lutheran Kingsmen,21,100%,85.2,81.9,0.961,35,30.5,65.5,46.6%,53.8%,14.1%,11.1%,8.3%,43.3%
1336,Cairn Highlanders,26,100%,83.9,79.3,0.946,34.7,30.2,64.9,46.6%,52.7%,14.1%,10.7%,7.7%,43%
1337,Cabrini Caveliers,29,100%,86.9,75.5,0.869,35.9,28.3,64.1,44.1%,49.8%,16.9%,10.6%,7.8%,40.6%
1338,Butler Bulldogs,35,100%,78.1,71.8,0.919,30.8,24.8,55.6,44.7%,51.6%,17.2%,13.4%,8.9%,42.1%
1339,Buffalo State Bengals,24,100%,93,82.8,0.891,34.9,28.8,63.7,45.2%,50.8%,18.2%,15.6%,10.9%,42.1%
1340,Buffalo Bulls,36,100%,85.1,75.7,0.89,34.9,25.9,60.8,42.6%,48.1%,15.7%,15.3%,10.3%,41.5%
1341,Buena Vista Beavers,27,100%,82.4,77,0.934,35.4,26.9,62.4,43.2%,51.6%,14.3%,11.6%,8%,41.3%
1342,Bucknell Bison,35,100%,82.8,72.7,0.878,35.1,25.9,61,42.5%,47.8%,14.7%,13.8%,9.8%,41.1%
1343,Bryn Athyn College,15,100%,88.5,77.7,0.878,35,29.6,64.6,45.8%,52.2%,19.1%,9.6%,7.8%,40.1%
1344,Bryant University Bulldogs,31,100%,82.4,82.7,1.004,30.9,29.6,60.5,48.9%,57.1%,15.3%,13.2%,7.8%,45.2%
1345,Bryan College Lions,25,100%,82.6,69.8,0.845,36.7,24.3,61,39.9%,46.7%,15.9%,12.5%,9.7%,38.1%
1346,Brown Bears,27,100%,83,78.7,0.949,30.6,27.4,58,47.3%,53.8%,16.9%,15.4%,9.2%,44.1%
1347,Brooklyn Bulldogs,22,100%,82.3,76,0.923,32.9,27.8,60.7,45.8%,52.5%,16%,11.9%,8.2%,42.5%
1348,Brockport Golden Eagles,26,100%,89,74.7,0.838,38.2,26.5,64.7,40.9%,48%,17.6%,12.1%,8.2%,37.7%
1349,Brock Badgers,32,100%,93.5,68.9,0.736,41.2,23.3,64.5,36.1%,41.7%,20%,12.5%,9%,34.7%
1350,British Columbia Thunderbirds,29,100%,92.2,74,0.802,40.7,25.9,66.6,38.8%,45.3%,18.1%,11.5%,9%,36.5%
1351,British Columbia - Okanagan,25,100%,88.6,79,0.892,38.3,28.2,66.5,42.4%,48.3%,14.5%,13.2%,10.5%,41.2%
1352,Brigham Young Cougars,35,100%,75.5,67.5,0.893,31.2,25.1,56.3,44.5%,50.9%,16%,11.5%,7.8%,41.2%
1353,Briercrest Clippers,13,100%,103.4,91.5,0.885,45.9,34.8,80.7,43.1%,48.4%,14.3%,9.4%,8.2%,40.8%
1354,Bridgewater State Bears,9,100%,81.2,76.1,0.937,33.1,27.8,60.9,45.6%,53.2%,16.4%,10.5%,7.5%,42.1%
1355,Bridgewater College Eagles,28,100%,87.3,73,0.836,35.4,25.4,60.8,41.7%,47.4%,18.1%,15.1%,11.1%,39.2%
1356,Bridgeport Purple Knights,31,100%,94,77.5,0.825,34.1,27.2,61.3,44.3%,48.9%,22.1%,15%,8.5%,39.6%
1357,Briar Cliff Chargers,34,100%,83.3,78.7,0.944,30.7,29,59.6,48.6%,54.6%,17.9%,13.2%,9.9%,43.8%
1358,Brewton-Parker Barons,27,100%,84.8,80.1,0.945,34.7,28,62.7,44.6%,51.6%,14.2%,14.4%,9.2%,43.4%
1359,Brevard College Tornados,25,100%,85.4,81.2,0.95,31.7,29,60.8,47.8%,55%,18.1%,13.1%,9%,42.9%
1360,Brescia University Bearcats,11,100%,88.7,90.2,1.016,30.4,34.5,64.8,53.2%,59.7%,16.6%,12%,8.2%,47.1%
1361,Brandon University Bobcats,27,100%,98.5,85.4,0.867,43.5,31.4,74.9,42%,48.3%,14.5%,10.9%,8.1%,39.8%
1362,Brandeis Judges,25,100%,82.4,77.4,0.939,32.9,28.7,61.6,46.6%,54%,16.4%,10.7%,8%,42.2%
1363,Bradley Braves,33,100%,73.7,63.2,0.857,31.6,21.2,52.8,40.1%,47%,16.4%,13.7%,8.8%,39%
1364,Boyce College Bulldogs,8,100%,87.1,93.8,1.076,33.8,34.1,67.9,50.3%,58.9%,12.8%,12.1%,10%,47.9%
1365,Bowling Green Falcons,32,100%,82.3,77.7,0.943,33.3,27.9,61.2,45.6%,52.2%,14.9%,12.6%,9%,43.6%
