#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
252,Wisconsin-(River Falls) Falcons,27,6.4%,4.8,4,0.837,1.9,1.5,3.4,44%,46.7%,17.1%,14%,13.2%,43.4%
253,Thiel,25,6.9%,5.6,4.7,0.837,2.2,1.6,3.8,41.5%,44.1%,14.9%,22%,18.4%,41.8%
254,Randolph College Wildcats,26,4.6%,3.8,3.2,0.837,1.6,1.1,2.7,40.8%,44.4%,17.3%,14.3%,10.2%,39.8%
255,Chicago Maroons,25,4%,3.2,2.7,0.837,1.4,1.1,2.5,43.5%,44.4%,13.8%,10%,7.5%,41.3%
256,Anderson (IN) Ravens,27,7.4%,6.1,5.1,0.837,2.4,2,4.4,45.8%,47.5%,16.9%,15.1%,9%,41.6%
257,Luther,25,5.5%,4.4,3.7,0.838,1.8,1.4,3.2,43.2%,47.5%,18%,12.6%,9.9%,37.8%
258,Lakeland (WI) Muskies,26,7.8%,7.1,6,0.838,3,2.3,5.3,43.2%,44.6%,15.1%,11.9%,9.2%,41.6%
259,Delaware Valley,25,4.8%,4,3.3,0.838,1.5,1,2.5,41.3%,42.9%,19.2%,19.2%,16.2%,42.4%
260,Fontbonne Griffins,16,3.6%,3.5,2.9,0.839,1.4,1.1,2.4,43.6%,44.9%,12.5%,19.6%,17.9%,46.4%
261,SUNY New Paltz Hawks,25,5.5%,4.8,4,0.84,2.1,1.4,3.5,39.1%,42.5%,13.4%,17.6%,13.4%,40.3%
262,Marian University (WI) Sabres,25,4.6%,3.8,3.2,0.84,1.5,1.2,2.6,43.9%,47%,20.2%,13.8%,10.6%,40.4%
263,Bridgewater State Bears,9,3.4%,2.8,2.3,0.84,1.2,0.8,2,38.9%,47.2%,20%,8%,8%,36%
264,Scranton Royals,25,6.6%,5,4.2,0.841,2.1,1.8,3.9,45.4%,47.4%,16.7%,8.7%,6.3%,41.3%
265,Plymouth State Panthers,13,7.3%,6.3,5.3,0.841,2.8,1.8,4.5,39%,41.5%,13.4%,19.5%,15.9%,40.2%
266,Endicott College Gulls,28,5.1%,4.5,3.8,0.841,2,1.4,3.4,40.6%,42.7%,11.9%,12.7%,10.3%,42.9%
267,Clark MA Cougars,23,5.8%,5,4.2,0.842,2,1.4,3.4,41%,43.6%,15.8%,18.4%,14%,43%
268,Saint Mary's (MN) Cardinals,27,3.7%,3.1,2.6,0.845,1.1,1,2.1,47.4%,48.2%,16.7%,17.9%,13.1%,44%
269,New Jersey City Knights,28,5.7%,4.6,3.9,0.845,1.9,1.4,3.3,41.9%,44.1%,17.1%,14.7%,11.6%,41.1%
270,Emerson College Lions,26,4.6%,3.7,3.2,0.845,1.8,1.2,3,39.2%,43.7%,10.3%,9.3%,8.2%,40.2%
271,Milwaukee School of Engineering,26,7.5%,6,5.1,0.846,2.4,2,4.5,45.7%,48.7%,16.7%,11.5%,7.7%,41%
272,Ithaca College,25,6.7%,6,5,0.846,2.7,1.6,4.3,37.4%,41.6%,14.8%,17.4%,14.8%,39.6%
273,Cairn Highlanders,26,4.2%,3.5,3,0.846,1.5,1,2.5,40%,43.8%,12.1%,18.7%,17.6%,40.7%
274,Brevard College Tornados,25,6.1%,5.2,4.4,0.847,1.8,1.4,3.1,43.6%,46.2%,22.1%,23.7%,20.6%,42%
275,Ripon Redhawks,25,5.7%,4.5,3.8,0.848,1.8,1.3,3.1,42.3%,44.2%,14.3%,17%,14.3%,42.9%
276,Elmira,24,4.7%,4.1,3.5,0.848,1.8,1.5,3.3,44.9%,46.8%,12.1%,10.1%,6.1%,41.4%
277,Marywood Pacers,26,6.9%,5.6,4.8,0.849,2.6,1.6,4.2,38.5%,41.3%,13%,15.1%,11%,41.1%
278,Kean University Cougars,27,2.3%,2,1.7,0.849,0.7,0.6,1.3,48.6%,50%,22.6%,13.2%,11.3%,43.4%
279,Alvernia,25,3.7%,2.9,2.5,0.849,1.3,0.8,2.1,38.5%,42.3%,16.4%,13.7%,13.7%,39.7%
280,Simpson (IA) Storm,26,7.1%,5.7,4.8,0.85,2.6,1.7,4.3,40.2%,42.4%,12.9%,12.9%,9.5%,40.8%
281,Louisiana College Wildcats,26,4.6%,4.1,3.5,0.85,1.6,1.2,2.8,43.2%,45.9%,15.9%,16.8%,13.1%,43.9%
282,Keystone,24,6.2%,5.6,4.8,0.851,2.2,1.8,4,45.3%,47.4%,15.7%,16.4%,11.9%,42.5%
283,Marietta Pioneers,28,8%,6.6,5.6,0.853,3,2.1,5.1,42%,46.2%,13.6%,10.9%,10.3%,40.2%
284,Eastern Connecticut State University Warriors,18,7.4%,6.1,5.2,0.853,2.1,1.8,3.9,47.1%,50.7%,23.9%,13.8%,8.3%,41.3%
285,Washington (MD)  Shoremen,26,3.8%,3.2,2.7,0.854,1.2,1,2.3,45.8%,47.5%,15.9%,17.1%,14.6%,42.7%
286,Muskingum,25,3.8%,3.3,2.8,0.855,1.6,1,2.6,38.5%,43.1%,12%,14.5%,12%,39.8%
287,Oberlin College Yeomen,26,6.4%,5.1,4.3,0.856,2.2,1.5,3.7,41.1%,43.7%,14.4%,18.9%,15.2%,41.7%
288,Medaille Mavericks,30,7.9%,7,6,0.856,3,2.1,5.2,41.3%,45.2%,14.4%,13.4%,7.2%,40.7%
289,McMurry,28,5.1%,4.5,3.8,0.856,2,1.2,3.3,37.4%,40.1%,10.4%,20.8%,17.6%,43.2%
290,Pitt Greensburg Bobcats,23,4%,3.3,2.9,0.857,1.3,0.9,2.1,40.8%,46.9%,20.8%,18.2%,11.7%,40.3%
291,Ozarks (AR) Eagles,27,4.8%,4.1,3.6,0.857,1.8,1.1,2.9,38%,39.9%,11.6%,20.5%,14.3%,44.6%
292,Geneva Golden Tornadoes,27,3.5%,2.9,2.4,0.857,1,0.9,1.9,47.1%,50%,19.5%,15.6%,13%,44.2%
293,Concordia (TX) Tornadoes,27,5.7%,5.4,4.7,0.857,2.2,1.3,3.5,37.9%,40.5%,16.3%,21.8%,17.7%,42.2%
294,Virginia Wesleyan Marlins,25,7.5%,6.2,5.3,0.858,2.7,1.8,4.5,40.7%,45.1%,15.5%,16.1%,13.5%,40.6%
295,Nichols,29,7%,6.1,5.2,0.859,2.3,2,4.3,46%,50%,18.6%,13.6%,10.7%,41.2%
296,Iowa Wesleyan Tigers,19,5.3%,4.9,4.2,0.86,2.2,1.5,3.6,40.6%,44.9%,14%,15.1%,11.8%,41.9%
297,Wooster Fighting Scots,28,5.2%,4.1,3.5,0.861,1.9,1.4,3.2,42.2%,45.6%,13.9%,11.3%,8.7%,40%
298,Elmhurst College Blue Jays,25,5.5%,4.3,3.7,0.861,1.8,1.3,3.1,41%,42.3%,11.1%,20.4%,14.8%,43.5%
299,Coe College Kohawks,26,7.1%,5.5,4.8,0.861,2.6,1.9,4.5,41.9%,46.2%,12.5%,7.6%,5.6%,40.3%
300,Emory University Eagles,29,7.2%,6,5.2,0.863,2.5,1.9,4.4,43%,44.5%,15.4%,15.4%,11.4%,41.7%
301,Curry,24,3.7%,3.3,2.9,0.863,1.4,1,2.4,41.4%,44%,13.8%,15%,10%,42.5%
302,St. Lawrence Saints,25,1%,0.9,0.8,0.864,0.4,0.4,0.8,45%,47.5%,9.1%,0%,0%,40.9%
303,Manhattanville College Valiant,25,6.7%,5.6,4.8,0.864,2.1,1.9,4,47.5%,50%,20%,10.7%,9.3%,40.7%
304,Marymount (VA) Saints,25,5.3%,4.2,3.6,0.865,1.6,1.2,2.8,44.3%,46.4%,16.3%,15.4%,14.4%,42.3%
305,Wisconsin-(Eau Claire) Blugold,25,5.3%,3.9,3.4,0.866,1.8,1.2,2.9,39.7%,42.5%,12.4%,14.4%,12.4%,42.3%
306,St. Joseph's (Brooklyn) Bears,8,4.2%,3.8,3.3,0.867,1.1,0.9,2,43.8%,50%,20%,26.7%,20%,50%
307,North Park Vikings,26,3.4%,2.7,2.3,0.87,1,0.9,1.8,47.9%,50%,17.4%,15.9%,10.1%,42%
308,Crown College (MN),27,5.1%,4.3,3.7,0.87,1.9,1.6,3.4,45.7%,47.8%,13%,11.3%,11.3%,41.7%
309,DePauw University Tigers,26,5.1%,3.9,3.4,0.871,1.7,1.3,3,44.3%,47.5%,14.9%,11.9%,10.9%,40.6%
310,Texas Lutheran Bulldogs,27,6.1%,4.9,4.3,0.872,2.3,1.6,3.9,41.3%,44.2%,12%,12%,9.8%,40.6%
311,Salve Regina Seahawks,26,5.1%,4.2,3.7,0.872,1.7,1.2,2.9,41.3%,45.3%,15.6%,16.5%,13.8%,42.2%
312,Widener,27,5.6%,4.7,4.1,0.873,1.9,1.5,3.4,44.6%,48.4%,15.9%,16.7%,12.7%,38.9%
313,St. Mary's (MD) Seahawks,26,5.1%,4.2,3.7,0.873,1.6,1.4,3,46.8%,47.5%,16.4%,13.6%,9.1%,44.5%
314,Rutgers-Newark Scarlet Raiders,22,6.1%,5,4.4,0.873,2.2,1.3,3.5,36.8%,40.1%,14.5%,24.5%,21.8%,40%
