#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
140,Valley Forge Christian College Patriots,6,9.4%,8,6.5,0.812,4,2.8,6.8,41.5%,43.9%,12.5%,10.4%,10.4%,35.4%
141,Earlham College Quakers,25,7.3%,5.9,4.8,0.811,2.4,1.7,4.1,42.2%,47.5%,20.9%,10.1%,7.4%,38.5%
142,Lewis & Clark Pioneers,26,8.2%,6.9,5.6,0.81,3.2,2,5.2,37.8%,41.9%,13.4%,11.7%,6.7%,38%
143,Wheaton (MA) Lyons,26,10.4%,8.1,6.6,0.81,3.4,2.3,5.7,40.3%,43.3%,17.5%,15.2%,11.4%,39.3%
144,Hilbert Hawks,26,6%,5.3,4.3,0.806,2.2,1.6,3.8,41.4%,44.4%,18.7%,11.5%,7.9%,38.8%
145,Mount Aloysius Mounties,24,14.2%,11.2,9,0.806,5.2,3,8.2,37.1%,40.1%,15.3%,16.4%,14.2%,37.7%
146,Randolph College Wildcats,26,14.5%,11.9,9.6,0.806,5.3,3.8,9,41.7%,47.4%,17.7%,7.7%,6.1%,36.8%
147,Western Connecticut State,15,6.3%,5.5,4.4,0.805,3.1,1.7,4.8,36.1%,41%,8.5%,6.1%,6.1%,35.4%
148,Wilmington (OH) Quakers,25,12.3%,10.6,8.6,0.805,4.8,2.8,7.7,37%,41.4%,15.8%,14.3%,10.5%,38%
149,Loras Duhawks,26,10.4%,9.2,7.4,0.804,4.3,2.6,7,37.6%,42.8%,15.4%,12.5%,8.3%,35.8%
150,SUNY Cortland Dragons,24,10.7%,8.3,6.7,0.804,4,2.4,6.4,37%,41.2%,13.1%,12.1%,10.6%,37.2%
151,Whitman Blues,31,6.8%,6.9,5.5,0.804,3.3,2.4,5.6,41.7%,43.4%,12.6%,7.9%,6.1%,38.8%
152,Aurora University,29,8.3%,7,5.6,0.803,3.2,2.2,5.5,40.9%,42.8%,12.3%,10.3%,8.4%,39.9%
153,Cabrini Caveliers,29,3.9%,3.5,2.8,0.802,1.4,1.2,2.6,46.1%,49.3%,19.8%,6.9%,5%,38.6%
154,Catholic University Cardinals,25,8.3%,6.7,5.4,0.802,3.1,2.2,5.3,40.9%,42%,11.4%,11.4%,9%,40.7%
155,Rochester (NY) Yellowjackets,25,16.7%,13.6,10.9,0.802,6,3.8,9.8,38.6%,42.1%,16.5%,12.7%,8.6%,38.1%
156,Alfred Saxons,26,10.1%,8.5,6.8,0.801,4,2.2,6.1,35.2%,42.1%,15.8%,13.1%,10.4%,36.2%
157,Cairn Highlanders,26,7.3%,6.2,4.9,0.8,2.4,2,4.4,45.2%,47.8%,20%,11.9%,8.1%,38.8%
158,Keene State Owls,16,5.9%,5.3,4.3,0.8,1.8,1.6,3.3,47.2%,50%,21.2%,18.8%,14.1%,41.2%
159,Waynesburg,26,12.1%,10.4,8.3,0.8,4.9,3.2,8.1,39.8%,44.5%,15.6%,7.4%,6.3%,37%
160,Wilkes,27,9%,7.4,5.9,0.8,3.6,2,5.6,35.8%,41.7%,13.5%,14%,11.5%,37%
161,Wisconsin-(Stevens Point) Pointers,30,9.5%,6.7,5.3,0.8,3.1,1.8,4.9,37.2%,43.9%,19%,8.5%,6%,34.5%
162,Guilford College Quakers,27,10.3%,8.5,6.8,0.799,3.3,2.7,5.9,45%,46.3%,18.3%,14%,13.1%,41.9%
163,Redlands Bulldogs,23,7.1%,6.3,5,0.799,2.9,1.8,4.7,38.5%,42.7%,15.3%,10.4%,9%,37.5%
164,Skidmore Thoroughbreds,26,15.1%,12.2,9.8,0.799,5.5,3.4,8.9,38.5%,41.1%,16%,14.2%,10.4%,38.4%
165,Minnesota Morris Cougars,27,11.2%,9.3,7.4,0.798,3.6,2.6,6.2,41.9%,44.9%,22.6%,14.7%,11.1%,37.7%
166,New York University Violets,24,11.1%,9.4,7.5,0.796,3.8,2.8,6.6,41.8%,47.2%,21.2%,9.7%,6.2%,37.2%
167,Springfield (MA) Pride,30,7.7%,6.2,4.9,0.796,2.6,1.7,4.3,40%,45%,21%,10.2%,8.1%,37.1%
168,Colorado Tigers,26,10.9%,8.6,6.8,0.795,4,2.4,6.3,37.6%,40%,15.6%,12.1%,10.7%,38.4%
169,Kings (PA),24,4.2%,3.7,2.9,0.795,1.7,0.9,2.5,34.4%,39.3%,18.2%,14.8%,11.4%,36.4%
170,Rutgers-Newark Scarlet Raiders,22,10.5%,8.4,6.7,0.795,3.7,2.3,6,38.2%,40.5%,16.2%,15.7%,12.4%,38.9%
171,Moravian,26,9.5%,8.2,6.5,0.794,2.9,2.5,5.4,46.4%,50%,26.2%,10.7%,7.9%,37.9%
172,Southern Vermont Mountaineers,6,6.4%,5.7,4.5,0.794,3,1.3,4.3,30.8%,34.6%,8.8%,14.7%,8.8%,38.2%
173,Stevens (NJ) Ducks,26,11.2%,10,7.9,0.792,4.3,3.1,7.4,42%,45.1%,18.8%,8.8%,6.2%,37.7%
174,Virginia Wesleyan Marlins,25,13.4%,11.3,9,0.792,5.4,3.2,8.6,37%,41.2%,14.5%,11.7%,9.9%,36.4%
175,Westminster (PA) Titans,27,13.9%,11.8,9.3,0.792,5.8,3.3,9.1,36.6%,44.5%,16.4%,7.2%,6%,34%
176,Wittenberg,30,14.5%,11.7,9.3,0.792,5.6,3.6,9.1,39.1%,42.7%,14.5%,9.7%,6.3%,36.8%
177,Edgewood College (WI) Eagles,28,11.7%,9.3,7.3,0.788,4,2.4,6.4,37.4%,39.7%,16.2%,18.5%,14.3%,39%
178,Wartburg Knights,26,17%,14,11,0.788,5.5,4,9.6,42.2%,46.8%,22%,10.7%,8.5%,37.5%
179,Williams College Ephs,29,10.4%,8,6.3,0.788,3,2.1,5.1,40.5%,45.3%,19.5%,19.5%,12.1%,39%
180,Wisconsin-(Stout) Blue Devils,25,5.6%,4.2,3.3,0.788,2,1.2,3.2,38.3%,43.2%,14.4%,9.6%,8.7%,36.5%
181,William Peace,27,9.2%,8.3,6.5,0.786,3.7,2.4,6.1,39.8%,45.2%,18.3%,8%,6.3%,36.6%
182,Northland College Lumberjacks,27,12.1%,9.6,7.6,0.785,4.4,2.7,7.1,38.3%,42%,16.2%,11.5%,10.4%,36.5%
183,Covenant College Scots,28,7.5%,6.8,5.3,0.784,3,2.1,5.1,40.6%,45.8%,18.4%,8.9%,6.3%,35.8%
184,Utica,27,10.5%,8.6,6.7,0.784,4,2.7,6.7,40.1%,43.1%,14.7%,7.4%,6.5%,37.7%
185,Emory University Eagles,29,9%,7.6,5.9,0.781,3.4,2.4,5.8,41.3%,44.3%,15.5%,9.1%,6.4%,37.9%
186,Gustavus Adolphus,24,2.9%,2.3,1.8,0.778,1.1,0.6,1.8,35.7%,45.2%,18.5%,3.7%,3.7%,31.5%
