#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
191,Emerson College Lions,26,8.4%,6.8,5.2,0.753,2.8,2.1,4.9,42.2%,46.5%,21.9%,9%,6.7%,34.8%
192,York (NY) Cardinals,18,7.9%,7,5.3,0.754,3.3,1.8,5.1,35.2%,39%,15.9%,15.1%,11.9%,36.5%
193,Chapman University Panthers,26,9.8%,7.5,5.7,0.754,3.4,2.3,5.7,40.5%,43.6%,18.5%,7.7%,5.6%,35.4%
194,Westfield State Owls,8,10.1%,8.8,6.6,0.757,3.4,2.4,5.8,41.3%,43.5%,20%,14.3%,7.1%,38.6%
195,Stevenson Mustangs,25,11.6%,9.9,7.5,0.758,4.6,2.9,7.5,38.8%,42%,17.3%,8.5%,6.9%,35.9%
196,Maryville (TN) Scots,29,11.2%,9.6,7.2,0.758,4,2.5,6.4,38.5%,42.2%,20.9%,13.4%,9.4%,36.5%
197,Minnesota Morris Cougars,27,8.3%,7.1,5.4,0.759,3.2,1.9,5.1,37.2%,39.8%,18.8%,12.6%,10.5%,35.6%
198,Roger Williams Hawks,27,10.7%,9.3,7,0.76,3.9,2.6,6.5,39.4%,43.7%,21.2%,10%,6.8%,34.8%
199,Westminster (PA) Titans,27,10.3%,8.5,6.5,0.761,4,2.6,6.6,39%,41.8%,16.1%,8.3%,7.4%,36.5%
200,Gallaudet University Bison,23,3.5%,3.1,2.3,0.761,1,0.8,1.8,45.2%,50%,31%,11.3%,8.5%,35.2%
201,Emory & Henry Wasps,29,9.5%,7.8,5.9,0.761,3.3,2.4,5.7,41.6%,46.1%,19.5%,8.8%,6.6%,36.3%
202,Ithaca College,25,10.7%,9.4,7.2,0.763,4.1,2.3,6.4,36.3%,40.3%,19.1%,14.4%,10.6%,36%
203,DePauw University Tigers,26,14.4%,11,8.4,0.763,5.5,3.2,8.7,37%,41.6%,15.7%,6.3%,4.9%,34.5%
204,SUNY Cortland Dragons,24,9.3%,7.4,5.7,0.764,3.9,2.2,6.1,36.1%,41.5%,12.9%,6.2%,6.2%,33.1%
205,Bryn Athyn College,15,4.1%,3.7,2.8,0.764,1.5,1.1,2.6,41%,43.6%,20%,12.7%,12.7%,36.4%
206,Northwestern (MN),27,8.8%,6.6,5.1,0.765,2.7,1.9,4.6,40.8%,44.8%,22.9%,10.6%,9.5%,35.2%
207,Dean College Bulldogs,8,7.4%,6.4,4.9,0.765,2.6,1.8,4.4,40%,42.9%,19.6%,15.7%,13.7%,39.2%
208,Rutgers-Newark Scarlet Raiders,22,10.2%,8.4,6.4,0.766,3.3,1.9,5.2,36.8%,41.7%,20.7%,17.9%,11.4%,37.5%
209,Plattsburgh State Cardinals,29,11.4%,10.3,7.9,0.767,4.9,3.1,7.9,38.7%,42.8%,15.3%,9%,7%,36.7%
210,Middlebury College,27,9.5%,8.4,6.4,0.767,3.3,2.2,5.5,39.6%,44.3%,23.3%,14.1%,11%,36.6%
211,Bethany (WV),30,11.1%,9.3,7.1,0.767,4.6,2.6,7.1,36%,40%,12.5%,11.8%,9.7%,36.9%
212,UC Santa Cruz Banana Slugs,25,7.6%,6.4,4.9,0.769,2.9,1.7,4.6,37.1%,40.1%,16.3%,12.5%,10%,36.9%
213,McMurry,28,7.5%,6.6,5.1,0.769,2.5,1.5,4.1,37.7%,41.7%,20.4%,21%,16.7%,39.2%
214,Transylvania University Pioneers,26,8%,6.7,5.2,0.77,2.6,1.5,4.2,37%,39.8%,20.7%,18.4%,14.4%,38.5%
215,Puget Sound Loggers,26,2.3%,2.3,1.8,0.77,0.8,0.6,1.4,41.7%,44.4%,26.2%,14.8%,8.2%,39.3%
216,Springfield (MA) Pride,30,10.1%,8.2,6.3,0.771,3.3,2.5,5.8,42.5%,45.4%,20%,10.6%,8.6%,38%
217,Maranatha Baptist,10,13.1%,11.8,9.1,0.771,5.9,3.6,9.5,37.9%,43.7%,14.4%,5.9%,4.2%,34.7%
218,Covenant College Scots,28,8%,7.3,5.6,0.771,3.6,2.1,5.8,37.3%,41.6%,15.6%,8.8%,7.8%,34.1%
219,Lasell,27,9.3%,7.6,5.9,0.772,3.9,2,5.9,34.6%,39.9%,12.6%,12.6%,11.2%,35.4%
220,Sewanee Tigers,25,11.9%,9.9,7.6,0.773,4.4,3.3,7.6,42.9%,44.2%,17%,8.1%,6.9%,36.8%
