team_id,team_name,player_id,player_name,PTS,3P,AST,TO,FG,FT,FGA,STL,PF,FTA,TRB,ORB,DRB,BLK
9,Knox,128,Garrett_Stone,0.57,0.07,0.43,0.57,0.14,0.21,0.71,0.21,0.86,0.36,0.5,0.14,0.36,0.07
9,Knox,129,Ikenna_Ozor,4.11,0,0.67,0.56,1.78,0.56,2.33,0.22,1.44,0.89,1.89,0.67,1.22,0
9,Knox,130,Jacob_Kampf,7.18,1.64,2.45,1.45,2.27,1,6.91,0.64,1.18,1.64,0.64,0.09,0.55,0
9,Knox,131,Jeremiah_Horton,1.9,0.3,0.2,0.3,0.8,0,1.2,0,0.1,0.1,0.6,0.1,0.5,0
9,Knox,132,John_Tsahageas,0.4,0,0.2,0.1,0.2,0,0.3,0,0.3,0,0.2,0.2,0,0
9,Knox,133,Jonathan_Damota,12.06,0.53,1.29,3.18,4.71,2.12,10.35,1.24,2,2.82,3.24,1.12,2.12,0.24
9,Knox,134,Marko_Protic,5.41,0.18,0.88,1.71,2.06,1.12,4.88,0.24,2.24,2,5.76,2.47,3.29,0.41
9,Knox,135,Sean_Pollock,0.4,0,0,0,0.2,0,0.4,0,0.1,0.4,0.1,0,0.1,0
9,Knox,136,Tyre_Dukes,1.4,0.13,0.93,0.87,0.53,0.2,1.2,0.2,0.6,0.6,0.8,0.13,0.67,0
4,MoodyBible,137,Aaron_Brown,0.67,0,0,0.33,0.33,0,1.33,0,0.33,0,0.33,0,0.33,0
4,MoodyBible,138,David_Arabis,9.8,2.6,4.8,4.2,3.6,0,9.8,1.2,1.6,0.8,4.4,1,3.4,0
4,MoodyBible,139,Jacob_Kim,4.5,1,0.5,1,1.75,0,3.75,1,1,1,3.25,0.75,2.5,0
4,MoodyBible,140,Jeremiah_Ransom,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0.5,0
4,MoodyBible,141,Jonah_Wilson,3.4,0.6,0.4,1,1.4,0,3.6,0.8,0.8,0.4,1.6,0.8,0.8,0
4,MoodyBible,142,Jonathan_Raub,4.75,0.25,1.5,1.75,1.75,1,4.5,0,3,1.25,3.25,1,2.25,0.5
4,MoodyBible,143,Joseph_Shidler,2.75,0.75,1,1.5,1,0,5.25,0,0.75,0,0.75,0.25,0.5,0
4,MoodyBible,144,Joshua_Wedeven,17.6,2.6,1.6,4,5.8,3.4,14.8,0.6,3,4.2,6,0.8,5.2,1.2
4,MoodyBible,145,Kent_Hinrichsen,4,0,0.33,0.67,1.33,1.33,3,1,1.67,1.33,3.67,1.33,2.33,1.67
4,MoodyBible,146,Keynan_Carter,5.4,0,1.2,1.8,1.8,1.8,4.6,1.8,1.6,4.2,1.2,0,1.2,0.8
4,MoodyBible,147,Levi_Miller,12.4,2.8,2,2,4.4,0.8,12.2,0.4,2.4,1,3,0.2,2.8,0.2
4,MoodyBible,148,Mitchell_Giedd,0,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0
4,MoodyBible,149,Zachary_Daniels,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0
2,MSOE,150,Anthony_Bartman,0.5,0,0,0,0.25,0,0.5,0.25,0.5,0,0,0,0,0.25
2,MSOE,151,Bailey_Mcdaniel,2.96,0.17,0.35,0.65,1,0.78,2.09,0.13,1.17,1.09,1.3,0.22,1.09,0.09
2,MSOE,152,Brian_Dorn,2.31,0.04,0.77,1.04,0.88,0.5,1.85,0.19,1.19,0.85,1.35,0.5,0.85,0
2,MSOE,153,David_Llorente,0.45,0,0,0.36,0.18,0.09,0.64,0,0.45,0.18,0.09,0,0.09,0
2,MSOE,154,Eddie_Harwick,0.6,0,0.2,0,0.2,0.2,0.4,0,0,0.4,0.4,0,0.4,0
