,team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Format,Type,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage,Adjusted_Overall_Average_PPP,Adjusted_Type_PPP
51,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,15,Robert_Ryan,3.56,18.04,0.9590000000000001,P&R Roll Man,0.013999999999999999,1.0,,0.997725856582,1.040381498
52,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,15,Robert_Ryan,3.56,18.04,0.9590000000000001,Hand Off,0.040999999999999995,1.0,0.33299999999999996,0.997725856582,1.040381498
53,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,14,Quinton_Armstrong,8.434782608999999,16.91304348,1.084,Off Screen,0.065,1.714,0.7140000000000001,1.127773543832,1.7832138875719998
54,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,14,Quinton_Armstrong,8.434782608999999,16.91304348,1.084,P&R Ball Handler,0.037000000000000005,2.0,1.0,1.127773543832,2.080762996
55,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,14,Quinton_Armstrong,8.434782608999999,16.91304348,1.084,Spot Up,0.374,1.1,0.43200000000000005,1.127773543832,1.1444196478
56,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,13,Ojani_Echevarria,1.5,8.166666667000001,1.125,P&R Ball Handler,0.188,1.3330000000000002,1.0,1.17042918525,1.386828536834
57,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,13,Ojani_Echevarria,1.5,8.166666667000001,1.125,Hand Off,0.125,2.0,1.0,1.17042918525,2.080762996
58,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,13,Ojani_Echevarria,1.5,8.166666667000001,1.125,Post-Up,0.188,1.3330000000000002,1.0,1.17042918525,1.386828536834
59,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,11,Nathaniel_Collins,8.5,19.2,1.0,Post-Up,0.096,1.273,0.667,1.040381498,1.3244056469539998
60,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,11,Nathaniel_Collins,8.5,19.2,1.0,Off Screen,0.191,1.136,0.5,1.040381498,1.1818733817279998
61,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,11,Nathaniel_Collins,8.5,19.2,1.0,Hand Off,0.078,1.222,0.5,1.040381498,1.271346190556
62,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,12,Nathan_Kellum,1.588235294,6.764705882,1.125,P&R Roll Man,0.20800000000000002,1.6,0.6,1.17042918525,1.6646103968
63,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,10,Juwan_Perry,5.0,11.92857143,0.7859999999999999,Spot Up,0.429,1.0,0.5,0.8177398574279998,1.040381498
