,team_name,team_ast,team_fg,team_id,player_id,player_name,MP,PTS,3P,AST,TO,FG,FT,FGA,STL,PF,FTA,TRB,ORB,DRB,BLK
63,CornellCollege,16,24,11,65,Michael_Drew,19.2857,5.29,0.29,1,1.29,1.79,1.43,4.36,0.71,1.14,1.86,4,0.64,3.36,0
64,CornellCollege,16,24,11,66,Michael_Fiorito,15.5,5.07,1.14,1.36,1.5,1.5,0.93,4.29,0.5,1.14,1.57,1.64,0.14,1.5,0
65,CornellCollege,16,24,11,67,Scott_Gasik,7,3.5,1,0.17,0.17,1.17,0.17,2.5,0.17,0.67,0.67,0.83,0.5,0.33,0
66,DominicanIL,12,24,3,68,Andrew_Wojcik,6.9375,2.69,0.25,0.88,0.94,0.88,0.69,2.13,0.19,0.88,0.94,0.75,0.06,0.69,0
67,DominicanIL,12,24,3,69,Antonio_Amoah,14.0909,5.45,0.41,0.64,1.14,2.14,0.77,4.64,0.64,1.27,1.18,2.95,1,1.95,0.05
68,DominicanIL,12,24,3,70,Arrin_Westbrook,4.6,2.1,0.1,0.4,0.3,1,0,2.4,0,0.4,0,0.8,0.2,0.6,0
69,DominicanIL,12,24,3,71,Connor_Dartt,14.32,2.6,0.12,0.36,1.28,0.88,0.72,3.2,0.44,2.12,1.2,3.4,1.08,2.32,0.2
70,DominicanIL,12,24,3,72,Dennis_Handy,13.3478,2.7,0.3,0.7,0.83,1.04,0.3,3.35,0.48,1.61,0.61,1.35,0.57,0.78,0.17
71,DominicanIL,12,24,3,73,Domenic_Aiello,17.96,7.4,1.64,1.92,1.8,2.44,0.88,6.36,1.28,2.04,1.52,1.4,0.12,1.28,0.04
72,DominicanIL,12,24,3,74,Isaac_Moore,17.2632,5.68,1.21,0.47,0.74,2,0.47,5.79,0.68,2.47,0.63,3.89,0.42,3.47,0.05
73,DominicanIL,12,24,3,75,Jackson_Smith,13.48,5.56,0.84,0.56,0.96,2,0.72,5.32,0.32,1.32,1.28,1.56,0.72,0.84,0.12
74,DominicanIL,12,24,3,76,Jonny_Woolf,28.4348,14.7,1.3,2.57,2.43,5.39,2.61,10.78,2.04,2.78,3.43,6.3,1.13,5.17,0.96
75,DominicanIL,12,24,3,77,Marin_Bandalo,3,2,0,0,0,1,0,1.5,0,0.5,0,0,0,0,0
76,DominicanIL,12,24,3,78,Nick_LaVere,18.1667,4.92,0.29,0.88,0.63,1.96,0.71,4.79,0.46,1.08,1.33,1.71,0.67,1.04,0.08
77,DominicanIL,12,24,3,79,Rory_Cunningham,7.25,1.83,0.17,0.25,0.42,0.75,0.17,2.08,0.25,1,0.33,2.33,0.42,1.92,0.5
78,DominicanIL,12,24,3,80,Sean_Ek,13.1176,2.41,0.47,1.35,1.12,0.76,0.41,1.94,0.35,1.06,0.47,0.88,0.18,0.71,0
79,DominicanIL,12,24,3,81,Tim_Robertson,25.625,14.79,0.42,1.71,1.96,5.63,3.13,13.63,0.29,1.54,4.25,4.58,0.96,3.63,0.75
80,EastWest,7,16,1,82,Adonis_Bell,12,3,0,0,1,1.5,0,4.5,0,1,0,1.5,0.5,1,0
81,EastWest,7,16,1,83,Ahmad_Eshftari,2.4,1.2,0,0.4,0.2,0.4,0.4,1.4,0.4,1.6,1.2,2,1,1,0
82,EastWest,7,16,1,84,Amare_Thurman,8.3333,3.42,0.42,1.08,1.25,1.25,0.5,3.67,0.75,1.17,1,1.92,0.83,1.08,0
83,EastWest,7,16,1,86,Brian_Ashberry,12.1538,5,0.08,0.15,1.15,1.92,1.08,4.92,0.77,1.85,2.38,3.85,1.46,2.38,0.31
84,EastWest,7,16,1,87,Carl_Moore,25.6667,12.47,1.73,2.13,3.07,4.47,1.8,12.6,1.2,2,2.27,5.67,1.2,4.47,0.6
85,EastWest,7,16,1,88,Cortland_Gillespie,11,7.07,0.73,0.87,2.4,2.33,1.67,6.13,0.47,1.4,3,1.73,0.53,1.2,0
86,EastWest,7,16,1,90,Eric_Spencer,6.0833,4,0.08,0.58,0.83,1.42,1.08,4.5,0.42,2,2.17,2.08,0.75,1.33,0.33
87,EastWest,7,16,1,91,Jeremy_Hargrove,9.8462,3.46,0.62,0.85,1.62,1,0.85,3.08,0.31,1.54,1.23,1.38,0.23,1.15,0.08
88,EastWest,7,16,1,92,Kinsley_Shaw,8.25,6.75,0,0.25,1.25,3,0.75,6.5,0.5,1.5,0.75,2.5,1.25,1.25,0
