Type,Format,team_name,element_name,percentage_of_time,ppp,overall_average_ppp,field_goal_percentage
Weakness,Offensive,Roosevelt,Hand Off,0.033,0.671,0.945,0.297
Weakness,Offensive,Roosevelt,Post-Up,0.097,0.772,0.945,0.457
Weakness,Offensive,OlivetCollege,Spot Up,0.192,0.859,0.879,0.339
Weakness,Offensive,OlivetCollege,Miscellaneous,0.068,0.642,0.879,0.588
Weakness,Offensive,OlivetCollege,P&R Roll Man,0.021,0.732,0.879,0.421
Weakness,Offensive,OlivetCollege,Off Screen,0.036,0.691,0.879,0.287
Weakness,Offensive,OlivetCollege,Hand Off,0.049,0.713,0.879,0.299
Weakness,Offensive,OlivetCollege,P&R Ball Handler,0.099,0.69,0.879,0.373
Weakness,Offensive,OlivetCollege,Isolation,0.103,0.801,0.879,0.397
Weakness,Offensive,NorthPark,P&R Ball Handler,0.097,0.686,0.831,0.35
Weakness,Offensive,NorthPark,Isolation,0.112,0.801,0.831,0.339
Weakness,Offensive,NorthPark,Offensive Rebounds (put backs),0.033,0.646,0.831,0.354
Weakness,Offensive,NorthPark,P&R Roll Man,0.03,0.724,0.831,0.308
Weakness,Offensive,NorthPark,Post-Up,0.028,0.745,0.831,0.455
Weakness,Offensive,NorthPark,Hand Off,0.024,0.667,0.831,0.286
Weakness,Offensive,NorthPark,Miscellaneous,0.08,0.312,0.831,0.31
Weakness,Offensive,MSOE,Isolation,0.043,0.697,0.903,0.394
Weakness,Offensive,MSOE,Miscellaneous,0.085,0.567,0.903,0.238
Weakness,Offensive,MSOE,P&R Ball Handler,0.114,0.828,0.903,0.421
Weakness,Offensive,MSOE,Post-Up,0.093,0.892,0.903,0.518
Weakness,Offensive,MoodyBible,P&R Ball Handler,0.068,0.607,0.734,0.3
Weakness,Offensive,MoodyBible,Miscellaneous,0.094,0.256,0.734,0.75
Weakness,Offensive,MoodyBible,Transition,0.128,0.566,0.734,0.289
Weakness,Offensive,MoodyBible,Isolation,0.101,0.524,0.734,0.3
Weakness,Offensive,MoodyBible,Cut,0.072,0.667,0.734,0.321
Weakness,Offensive,Knox,Miscellaneous,0.089,0.202,0.792,0.385
Weakness,Offensive,Knox,P&R Ball Handler,0.127,0.612,0.792,0.336
Weakness,Offensive,Knox,Hand Off,0.045,0.65,0.792,0.356
Weakness,Offensive,Knox,Isolation,0.041,0.782,0.792,0.4
Weakness,Offensive,Knox,P&R Roll Man,0.033,0.705,0.792,0.324
Weakness,Offensive,Kalamazoo,P&R Ball Handler,0.112,0.778,0.805,0.389
Weakness,Offensive,Kalamazoo,Off Screen,0.041,0.711,0.805,0.294
Weakness,Offensive,Kalamazoo,Isolation,0.032,0.578,0.805,0.432
Weakness,Offensive,Kalamazoo,Miscellaneous,0.101,0.218,0.805,0.294
Weakness,Offensive,IllinoisTech,Spot Up,0.172,0.817,0.822,0.313
Weakness,Offensive,IllinoisTech,Post-Up,0.105,0.756,0.822,0.46
Weakness,Offensive,IllinoisTech,Miscellaneous,0.087,0.456,0.822,0.316
Weakness,Offensive,IllinoisTech,Isolation,0.058,0.733,0.822,0.383
Weakness,Offensive,IllinoisTech,Off Screen,0.053,0.793,0.822,0.277
Weakness,Offensive,IllinoisTech,P&R Roll Man,0.035,0.564,0.822,0.268
Weakness,Offensive,IllinoisTech,Hand Off,0.008,0.417,0.822,0.167
Weakness,Offensive,GustavusAdolphus,Hand Off,0.014,0.808,0.876,0.316
Weakness,Offensive,GustavusAdolphus,Isolation,0.079,0.738,0.876,0.372
Weakness,Offensive,GustavusAdolphus,Off Screen,0.099,0.834,0.876,0.393
Weakness,Offensive,GustavusAdolphus,Post-Up,0.113,0.861,0.876,0.51
Weakness,Offensive,GustavusAdolphus,Miscellaneous,0.083,0.48,0.876,0.313
Weakness,Offensive,GustavusAdolphus,P&R Ball Handler,0.029,0.778,0.876,0.357
Weakness,Offensive,Fontbonne,Miscellaneous,0.133,0.34,0.882,0.455
Weakness,Offensive,Fontbonne,Post-Up,0.065,0.857,0.882,0.478
Weakness,Offensive,Fontbonne,Isolation,0.056,0.619,0.882,0.281
Weakness,Offensive,Fontbonne,P&R Ball Handler,0.015,0.87,0.882,0.4
Weakness,Offensive,Fontbonne,P&R Roll Man,0.004,0.833,0.882,0.333
Weakness,Offensive,EastWest,Miscellaneous,0.101,0.377,0.735,0.273
Weakness,Offensive,EastWest,P&R Ball Handler,0.072,0.482,0.735,0.264
Weakness,Offensive,EastWest,Post-Up,0.091,0.708,0.735,0.41
Weakness,Offensive,EastWest,Isolation,0.107,0.607,0.735,0.279
Weakness,Offensive,DominicanIL,Miscellaneous,0.066,0.346,0.816,0.467
Weakness,Offensive,DominicanIL,Post-Up,0.091,0.781,0.816,0.387
Weakness,Offensive,DominicanIL,Isolation,0.055,0.764,0.816,0.376
Weakness,Offensive,DominicanIL,Off Screen,0.052,0.673,0.816,0.281
Weakness,Offensive,DominicanIL,P&R Roll Man,0.042,0.714,0.816,0.314
