Type,Format,team_name,element_name,percentage_of_time,ppp,average_ppp,field_goal_percentage
Strength,Defensive,OlivetCollege,Isolation,0.033,0.884,0.914,0.4
Strength,Defensive,OlivetCollege,Off Screen,0.022,0.696,0.914,0.326
Strength,Defensive,OlivetCollege,Hand Off,0.013,0.647,0.914,0.3
Strength,Defensive,NorthPark,Miscellaneous,0.071,0.441,0.971,0.522
Strength,Defensive,NorthPark,Spot Up,0.216,0.938,0.971,0.36
Strength,Defensive,NorthPark,Post-Up,0.121,0.873,0.971,0.508
Strength,Defensive,NorthPark,P&R Ball Handler,0.079,0.742,0.971,0.351
Strength,Defensive,NorthPark,Isolation,0.034,0.87,0.971,0.479
Strength,Defensive,NorthPark,Hand Off,0.025,0.863,0.971,0.444
Strength,Defensive,MSOE,Off Screen,0.071,0.878,0.884,0.385
Strength,Defensive,MSOE,Spot Up,0.228,0.882,0.884,0.359
Strength,Defensive,MSOE,P&R Ball Handler,0.117,0.848,0.884,0.419
Strength,Defensive,MSOE,Post-Up,0.085,0.847,0.884,0.449
Strength,Defensive,MSOE,Isolation,0.075,0.846,0.884,0.457
Strength,Defensive,MSOE,Miscellaneous,0.063,0.504,0.884,0.308
Strength,Defensive,MSOE,Hand Off,0.033,0.809,0.884,0.393
Strength,Defensive,MoodyBible,Miscellaneous,0.072,0.242,0.989,0.5
Strength,Defensive,MoodyBible,Spot Up,0.221,0.95,0.989,0.375
Strength,Defensive,MoodyBible,P&R Ball Handler,0.063,0.552,0.989,0.316
Strength,Defensive,MoodyBible,Isolation,0.037,0.647,0.989,0.333
Strength,Defensive,MoodyBible,Hand Off,0.018,0.75,0.989,0.429
Strength,Defensive,Knox,P&R Ball Handler,0.089,0.823,0.95,0.44
Strength,Defensive,Knox,Miscellaneous,0.081,0.429,0.95,0.353
Strength,Defensive,Knox,Off Screen,0.072,0.59,0.95,0.229
Strength,Defensive,Kalamazoo,Off Screen,0.076,0.745,0.877,0.315
Strength,Defensive,Kalamazoo,Miscellaneous,0.077,0.627,0.877,0.45
Strength,Defensive,Kalamazoo,P&R Roll Man,0.025,0.827,0.877,0.421
Strength,Defensive,Kalamazoo,Hand Off,0.028,0.719,0.877,0.304
Strength,Defensive,Kalamazoo,P&R Ball Handler,0.069,0.592,0.877,0.299
Strength,Defensive,Kalamazoo,Post-Up,0.075,0.729,0.877,0.44
Strength,Defensive,IllinoisTech,Isolation,0.066,0.758,0.838,0.333
Strength,Defensive,IllinoisTech,P&R Ball Handler,0.098,0.699,0.838,0.343
Strength,Defensive,IllinoisTech,Miscellaneous,0.085,0.299,0.838,0.357
Strength,Defensive,IllinoisTech,P&R Roll Man,0.032,0.688,0.838,0.333
Strength,Defensive,GustavusAdolphus,Isolation,0.049,0.764,0.906,0.387
Strength,Defensive,GustavusAdolphus,Off Screen,0.051,0.734,0.906,0.304
Strength,Defensive,GustavusAdolphus,P&R Ball Handler,0.146,0.753,0.906,0.386
Strength,Defensive,GustavusAdolphus,Post-Up,0.083,0.816,0.906,0.473
Strength,Defensive,GustavusAdolphus,Miscellaneous,0.065,0.483,0.906,0.458
Strength,Defensive,GustavusAdolphus,Hand Off,0.034,0.823,0.906,0.362
Strength,Defensive,GustavusAdolphus,P&R Roll Man,0.044,0.775,0.906,0.358
Strength,Defensive,Fontbonne,Miscellaneous,0.081,0.544,0.963,0.667
Strength,Defensive,Fontbonne,P&R Ball Handler,0.089,0.781,0.963,0.374
Strength,Defensive,Fontbonne,Post-Up,0.063,0.773,0.963,0.423
Strength,Defensive,Fontbonne,Isolation,0.036,0.839,0.963,0.436
Strength,Defensive,Fontbonne,Hand Off,0.021,0.909,0.963,0.357
Strength,Defensive,EastWest,Miscellaneous,0.094,0.667,1.023,0.5
Strength,Defensive,EastWest,Off Screen,0.028,0.659,1.023,0.27
Strength,Defensive,EastWest,P&R Ball Handler,0.038,0.885,1.023,0.422
Strength,Defensive,EastWest,Isolation,0.043,0.855,1.023,0.415
Strength,Defensive,EastWest,Post-Up,0.062,0.848,1.023,0.478
Strength,Defensive,DominicanIL,Miscellaneous,0.075,0.487,0.906,0.542
Strength,Defensive,DominicanIL,Isolation,0.044,0.826,0.906,0.448
Strength,Defensive,DominicanIL,Hand Off,0.032,0.788,0.906,0.373
Strength,Defensive,DominicanIL,Spot Up,0.203,0.882,0.906,0.368
Strength,Defensive,DominicanIL,P&R Ball Handler,0.112,0.797,0.906,0.425
Strength,Defensive,DominicanIL,Post-Up,0.099,0.732,0.906,0.421
Strength,Defensive,CornellCollege,Isolation,0.038,0.767,0.89,0.289
Strength,Defensive,CornellCollege,Miscellaneous,0.046,0.596,0.89,0.556
Strength,Defensive,CornellCollege,Transition,0.194,0.842,0.89,0.473
Strength,Defensive,CornellCollege,P&R Ball Handler,0.146,0.778,0.89,0.39
Strength,Defensive,CornellCollege,Off Screen,0.055,0.873,0.89,0.345
