,team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Unnamed: 6,Unnamed: 7,Type,Format,element_name,percentage_of_time,ppp,overall_average_ppp,field_goal_percentage
51,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Weakness,Offensive,Post-Up,0.091,0.7809999999999999,0.816,0.387
52,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Weakness,Offensive,Isolation,0.055,0.764,0.816,0.376
53,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Weakness,Offensive,Off Screen,0.052000000000000005,0.6729999999999999,0.816,0.281
54,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Weakness,Offensive,P&R Roll Man,0.042,0.7140000000000001,0.816,0.314
55,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Strength,Offensive,Hand Off,0.01,0.867,0.735,0.364
56,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Strength,Offensive,P&R Roll Man,0.018000000000000002,0.759,0.735,0.3
57,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Strength,Offensive,Off Screen,0.027000000000000003,0.907,0.735,0.441
58,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Strength,Offensive,Cut,0.071,0.955,0.735,0.511
59,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Strength,Offensive,Offensive Rebounds (put backs),0.08199999999999999,0.769,0.735,0.406
60,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Strength,Offensive,Transition,0.20600000000000002,0.9109999999999999,0.735,0.44299999999999995
61,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Strength,Offensive,Spot Up,0.214,0.78,0.735,0.316
62,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Weakness,Offensive,Miscellaneous,0.10099999999999999,0.377,0.735,0.273
63,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Weakness,Offensive,P&R Ball Handler,0.07200000000000001,0.48200000000000004,0.735,0.264
64,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Weakness,Offensive,Post-Up,0.091,0.708,0.735,0.41
65,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Weakness,Offensive,Isolation,0.107,0.607,0.735,0.27899999999999997
66,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Strength,Offensive,Cut,0.105,0.987,0.882,0.521
67,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Strength,Offensive,Offensive Rebounds (put backs),0.065,1.041,0.882,0.507
68,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Strength,Offensive,Off Screen,0.064,1.156,0.882,0.512
69,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Strength,Offensive,Hand Off,0.011000000000000001,1.235,0.882,0.5329999999999999
70,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Strength,Offensive,Transition,0.273,1.0170000000000001,0.882,0.5660000000000001
71,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Strength,Offensive,Spot Up,0.207,0.9259999999999999,0.882,0.36700000000000005
72,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Weakness,Offensive,Miscellaneous,0.133,0.34,0.882,0.455
73,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Weakness,Offensive,Post-Up,0.065,0.857,0.882,0.478
74,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Weakness,Offensive,Isolation,0.055999999999999994,0.619,0.882,0.281
75,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Weakness,Offensive,P&R Ball Handler,0.015,0.87,0.882,0.4
76,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Weakness,Offensive,P&R Roll Man,0.004,0.833,0.882,0.33299999999999996
77,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Strength,Offensive,Post-Up,0.11199999999999999,0.813,0.792,0.44299999999999995
78,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Strength,Offensive,Cut,0.077,1.107,0.792,0.573
79,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Strength,Offensive,Offensive Rebounds (put backs),0.051,1.074,0.792,0.6
80,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Strength,Offensive,Spot Up,0.18899999999999997,0.898,0.792,0.36200000000000004
81,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Strength,Offensive,Transition,0.14800000000000002,0.94,0.792,0.46399999999999997
82,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Strength,Offensive,Off Screen,0.09,0.81,0.792,0.34
83,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Weakness,Offensive,Miscellaneous,0.08900000000000001,0.20199999999999999,0.792,0.385
84,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Weakness,Offensive,P&R Ball Handler,0.127,0.612,0.792,0.336
85,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Weakness,Offensive,Hand Off,0.045,0.65,0.792,0.35600000000000004
86,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Weakness,Offensive,Isolation,0.040999999999999995,0.782,0.792,0.4
87,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Weakness,Offensive,P&R Roll Man,0.033,0.705,0.792,0.324
88,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Strength,Offensive,Post-Up,0.046,0.737,0.7340000000000001,0.462
89,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Strength,Offensive,Offensive Rebounds (put backs),0.036000000000000004,1.0,0.7340000000000001,0.5
90,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Strength,Offensive,P&R Roll Man,0.01,0.75,0.7340000000000001,0.25
91,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Strength,Offensive,Spot Up,0.263,0.89,0.7340000000000001,0.379
92,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Strength,Offensive,Hand Off,0.094,0.9229999999999999,0.7340000000000001,0.344
93,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Strength,Offensive,Off Screen,0.087,1.111,0.7340000000000001,0.5
94,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Weakness,Offensive,P&R Ball Handler,0.068,0.607,0.7340000000000001,0.3
95,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Weakness,Offensive,Miscellaneous,0.094,0.256,0.7340000000000001,0.75
96,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Weakness,Offensive,Transition,0.128,0.5660000000000001,0.7340000000000001,0.289
97,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Weakness,Offensive,Isolation,0.10099999999999999,0.524,0.7340000000000001,0.3
98,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Weakness,Offensive,Cut,0.07200000000000001,0.667,0.7340000000000001,0.321
99,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Offensive,P&R Roll Man,0.04,1.0,0.903,0.493
100,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Offensive,Transition,0.107,0.924,0.903,0.507
101,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Offensive,Off Screen,0.079,0.91,0.903,0.40299999999999997
