,team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Unnamed: 6,Unnamed: 7,Type,Format,element_name,percentage_of_time,ppp,average_ppp,field_goal_percentage
106,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Weakness,Defensive,P&R Roll Man,0.046,0.9690000000000001,0.884,0.494
107,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Weakness,Defensive,Transition,0.162,0.958,0.884,0.49200000000000005
108,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Weakness,Defensive,Cut,0.068,1.077,0.884,0.5770000000000001
109,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Weakness,Defensive,Offensive Rebounds (put backs),0.051,1.038,0.884,0.527
110,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Strength,Defensive,Isolation,0.077,0.718,0.841,0.34700000000000003
111,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Strength,Defensive,Miscellaneous,0.086,0.435,0.841,0.34600000000000003
112,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Strength,Defensive,P&R Roll Man,0.025,0.758,0.841,0.419
113,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Strength,Defensive,Off Screen,0.037000000000000005,0.742,0.841,0.299
114,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Strength,Defensive,P&R Ball Handler,0.094,0.7709999999999999,0.841,0.375
115,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Weakness,Defensive,Spot Up,0.262,0.895,0.841,0.36
116,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Weakness,Defensive,Hand Off,0.023,0.898,0.841,0.452
117,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Weakness,Defensive,Offensive Rebounds (put backs),0.061,0.948,0.841,0.462
118,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Weakness,Defensive,Cut,0.084,1.085,0.841,0.56
119,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Weakness,Defensive,Post-Up,0.11199999999999999,0.8440000000000001,0.841,0.469
120,Roosevelt,34.0,73.0,74.17647059,0.886095483,0.8919356959999999,,,Weakness,Defensive,Transition,0.14,0.941,0.841,0.46
121,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Strength,Defensive,P&R Ball Handler,0.132,0.835,0.899,0.364
122,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Strength,Defensive,Post-Up,0.102,0.8859999999999999,0.899,0.478
123,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Strength,Defensive,Off Screen,0.076,0.821,0.899,0.33799999999999997
124,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Strength,Defensive,Hand Off,0.040999999999999995,0.588,0.899,0.244
125,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Strength,Defensive,Miscellaneous,0.054000000000000006,0.536,0.899,0.474
126,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Weakness,Defensive,Isolation,0.051,0.99,0.899,0.447
127,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Weakness,Defensive,Spot Up,0.212,0.929,0.899,0.358
128,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Weakness,Defensive,Transition,0.165,0.988,0.899,0.461
129,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Weakness,Defensive,Cut,0.061,0.992,0.899,0.528
130,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Weakness,Defensive,P&R Roll Man,0.054000000000000006,0.919,0.899,0.41200000000000003
131,Wabash,26.0,80.11538462,79.26923077,0.972464115,0.95317364,,,Weakness,Defensive,Offensive Rebounds (put backs),0.052000000000000005,1.206,0.899,0.605
132,WheatonIL,26.0,81.07692308,81.92307692,0.984135552,0.9850848390000001,,,Strength,Defensive,Spot Up,0.215,0.893,0.9109999999999999,0.354
133,WheatonIL,26.0,81.07692308,81.92307692,0.984135552,0.9850848390000001,,,Strength,Defensive,Miscellaneous,0.069,0.41100000000000003,0.9109999999999999,0.28
134,WheatonIL,26.0,81.07692308,81.92307692,0.984135552,0.9850848390000001,,,Strength,Defensive,P&R Roll Man,0.035,0.907,0.9109999999999999,0.429
135,WheatonIL,26.0,81.07692308,81.92307692,0.984135552,0.9850848390000001,,,Strength,Defensive,Isolation,0.046,0.784,0.9109999999999999,0.355
136,WheatonIL,26.0,81.07692308,81.92307692,0.984135552,0.9850848390000001,,,Strength,Defensive,Post-Up,0.08800000000000001,0.904,0.9109999999999999,0.511
137,WheatonIL,26.0,81.07692308,81.92307692,0.984135552,0.9850848390000001,,,Strength,Defensive,Off Screen,0.08900000000000001,0.836,0.9109999999999999,0.337
138,WheatonIL,26.0,81.07692308,81.92307692,0.984135552,0.9850848390000001,,,Strength,Defensive,P&R Ball Handler,0.133,0.8490000000000001,0.9109999999999999,0.433
139,WheatonIL,26.0,81.07692308,81.92307692,0.984135552,0.9850848390000001,,,Weakness,Defensive,Hand Off,0.027999999999999997,1.05,0.9109999999999999,0.43799999999999994
140,WheatonIL,26.0,81.07692308,81.92307692,0.984135552,0.9850848390000001,,,Weakness,Defensive,Transition,0.13699999999999998,1.0859999999999999,0.9109999999999999,0.531
